Orpha	Orpha|Syndrome|Prevalence|Inheritance|Age of onset|OMIM
217607	217607|Familial dilated cardiomyopathy|-|-|-|
217610	217610|Neuromuscular disease with dilated cardiomyopathy|-|-|-|
217613	217613|Mitochondrial disease with dilated cardiomyopathy|-|-|-|
217616	217616|Fatty acid oxidation and ketogenesis disorder with dilated cardiomyopathy|-|-|-|
217619	217619|Syndrome associated with dilated cardiomyopathy|-|-|-|
217622	217622|Sensorineural deafness with dilated cardiomyopathy|<1 / 1 000 000|Autosomal dominant|Childhood|605362
217629	217629|Non-familial dilated cardiomyopathy|-|-|-|
217632	217632|Restrictive cardiomyopathy|-|-|-|
217635	217635|Familial restrictive cardiomyopathy|-|-|-|
217638	217638|Lysosomal disease with restrictive cardiomyopathy|-|-|-|
217656	217656|Familial isolated arrhythmogenic right ventricular dysplasia|Unknown|Autosomal dominant|-|107970 600996 602086 602087 604400 604401 607450 609040 610193 610476 611528 615616
217678	217678|Unclassified cardiomyopathy|-|-|-|
2177	2177|Hydranencephaly|Unknown|-|Antenatal<br>Neonatal|
217720	217720|Non-familial restrictive cardiomyopathy|-|-|-|
218	218|Darier disease|1-9 / 100 000|Autosomal dominant|All ages|124200
2180	2180|Hydrocephalus-costovertebral dysplasia-Sprengel anomaly syndrome|<1 / 1 000 000|Unknown|Neonatal|600991
2181	2181|Hydrocephaly-tall stature-joint laxity syndrome|<1 / 1 000 000|Autosomal recessive|Infancy|236660
2182	2182|Hydrocephalus with stenosis of the aqueduct of Sylvius|1-9 / 100 000|X-linked recessive|Antenatal<br>Neonatal|307000
2183	2183|Hydrocephalus-obesity-hypogonadism syndrome|<1 / 1 000 000|X-linked recessive|Infancy<br>Neonatal|
2184	2184|Hydrocephaly-low insertion umbilicus syndrome|-|-|-|
218436	218436|Rare cardiac rhythm disease|-|-|-|
218439	218439|Non-genetic cardiac rhythm disease|-|-|-|
2185	2185|Congenital hydrocephalus|Unknown|-|-|236600 615219
2186	2186|Hydrocephalus-blue sclerae-nephropathy syndrome|<1 / 1 000 000|Unknown|No data available|
2189	2189|Hydrolethalus|<1 / 1 000 000|Autosomal recessive|Neonatal<br>Antenatal|236680 614120
219	219|Autosomal recessive limb-girdle muscular dystrophy type 2F|1-9 / 1 000 000|Autosomal recessive|Childhood|601287
2190	2190|Congenital hydronephrosis|Unknown|Autosomal dominant|Neonatal|143400
2194	2194|Anti-HLA hyperimmunization|Unknown|Not applicable|All ages|
2195	2195|Dicarboxylic aminoaciduria|-|-|Infancy<br>Neonatal|222730
2196	2196|Familial primary hypomagnesemia with hypercalciuria and nephrocalcinosis with severe ocular involvement|<1 / 1 000 000|Autosomal recessive|Childhood|248190
2197	2197|Idiopathic hypercalciuria|-|-|-|143870 607258
2198	2198|Palmoplantar keratoderma-esophageal carcinoma syndrome|<1 / 1 000 000|Autosomal dominant|Adolescent<br>Adult|148500
2199	2199|Epidermolytic palmoplantar keratoderma|-|-|-|144200
22	22|Succinic semialdehyde dehydrogenase deficiency|Unknown|Autosomal recessive|Childhood<br>Infancy<br>Neonatal|271980
220	220|Denys-Drash syndrome|<1 / 1 000 000|-|Infancy<br>Neonatal|194080
2200	2200|Focal palmoplantar and gingival keratoderma|-|-|-|148730
2201	2201|Palmoplantar keratoderma-spastic paralysis syndrome|<1 / 1 000 000|Autosomal dominant|All ages|148360
2202	2202|Palmoplantar keratoderma-deafness syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Mitochondrial inheritance|Childhood|148350
220295	220295|Xeroderma pigmentosum-Cockayne syndrome complex|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|278730 278760 278780 610651
2203	2203|Hyperlysinemia|Unknown|Autosomal recessive|All ages|238700 238710
220386	220386|Semilobar holoprosencephaly|1-9 / 100 000|Multigenic/multifactorial<br>or&nbsp;Not applicable|Infancy<br>Neonatal|
220393	220393|Diffuse cutaneous systemic sclerosis|-|Multigenic/multifactorial<br>or&nbsp;Not applicable|Adult|
2204	2204|Dysplastic cortical hyperostosis|-|-|-|
220402	220402|Limited cutaneous systemic sclerosis|-|Multigenic/multifactorial<br>or&nbsp;Not applicable|Adult|
220407	220407|Limited systemic sclerosis|Unknown|Not applicable|Adult|
220436	220436|Quebec platelet disorder|-|Autosomal dominant|-|601709
220443	220443|Bleeding diathesis due to thromboxane synthesis deficiency|-|-|-|614009
220448	220448|Macrothrombocytopenia with mitral valve insufficiency|-|-|-|
220452	220452|Isolated hereditary giant platelet disorder|-|-|-|
220460	220460|Attenuated familial adenomatous polyposis|-|Autosomal dominant<br>or&nbsp;Autosomal recessive|Adult|175100 608456 612591 615083 616415
220465	220465|Laron syndrome with immunodeficiency|<1 / 1 000 000|Autosomal recessive|-|245590
220489	220489|Rare hereditary hemochromatosis|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive|All ages|
220493	220493|Joubert syndrome with ocular defect|Unknown|Autosomal recessive|Infancy<br>Neonatal|608629 614424 614464 614970 617121
220497	220497|Joubert syndrome with renal defect|Unknown|Autosomal recessive|Infancy<br>Neonatal|609583 611560 614424
2206	2206|Ankylosing vertebral hyperostosis with tylosis|<1 / 1 000 000|Autosomal dominant|Adult|106400
2207	2207|Familial primary hyperparathyroidism|Unknown|Autosomal dominant|Childhood|
2209	2209|Maternal phenylketonuria|Unknown|Autosomal recessive|Neonatal<br>Antenatal|261600
221	221|Dermatomyositis|1-9 / 100 000|Not applicable|All ages|
221008	221008|Rothmund-Thomson syndrome type 1|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|
221016	221016|Rothmund-Thomson syndrome type 2|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|
221039	221039|Hereditary sclerosing poikiloderma, Weary type|-|-|-|173700
221043	221043|Hereditary fibrosing poikiloderma-tendon contractures-myopathy-pulmonary fibrosis syndrome|<1 / 1 000 000|Autosomal dominant|Infancy|615704
221046	221046|Poikiloderma with neutropenia|<1 / 1 000 000|Autosomal recessive|-|604173
221054	221054|Acrocephalopolydactyly|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|200995
221061	221061|Familial cerebral cavernous malformation|1-5 / 10 000|Autosomal dominant|All ages|116860 603284 603285
221074	221074|Marchiafava-Bignami disease|-|-|-|
221078	221078|Combined hyperactive dysfunction syndrome of the cranial nerves|-|-|-|
221083	221083|Hemifacial spasm|-|-|-|141405
221091	221091|Trigeminal neuralgia|-|-|-|190400
221098	221098|Glossopharyngeal neuralgia|-|-|-|
2211	2211|Hypertelorism-hypospadias-polysyndactyly syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|239710
221106	221106|Isolated facial myokymia|-|-|-|
221109	221109|Cranial neuralgia|-|-|-|
221114	221114|Acquired peripheral movement disorder|-|-|-|
221117	221117|Gerstmann syndrome|-|-|-|
221120	221120|Pseudoaminopterin syndrome|-|-|-|600325
221126	221126|Fowler syndrome|-|Autosomal recessive|-|225790
221139	221139|Combined immunodeficiency with faciooculoskeletal anomalies|-|-|-|613328
221142	221142|Confetti-like macular atrophy|-|-|-|
221145	221145|Cutis laxa with severe pulmonary, gastrointestinal and urinary anomalies|<1 / 1 000 000|Autosomal recessive|Neonatal|613177
221150	221150|Pitt-Hopkins-like syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|610042 614325
2213	2213|Hypertelorism-microtia-facial clefting syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal<br>Antenatal|239800
2215	2215|Multiple pterygium-malignant hyperthermia syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|217150
2216	2216|Maternal hyperthermia induced birth defects|-|-|-|
2218	2218|Cervical hypertrichosis-peripheral neuropathy syndrome|<1 / 1 000 000|Autosomal recessive|Childhood|239840
222	222|Erosive pustular dermatosis of the scalp|Unknown|Not applicable|Adult|
2220	2220|Hypertrichosis cubiti|<1 / 1 000 000|Autosomal dominant|Childhood|139600
2221	2221|Acquired hypertrichosis lanuginosa|<1 / 1 000 000|Not applicable|Adult|
2222	2222|Hypertrichosis lanuginosa congenita|<1 / 1 000 000|Autosomal dominant|Childhood|145700 145701 307150
2224	2224|Hypertryptophanemia|<1 / 1 000 000|Autosomal recessive|-|600627
222628	222628|Hereditary poikiloderma|-|-|-|
2228	2228|Hypodontia-dysplasia of nails syndrome|Unknown|Autosomal dominant|Childhood|189500
2229	2229|Dilated cardiomyopathy-hypergonadotropic hypogonadism syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|212112
223	223|Nephrogenic diabetes insipidus|1-9 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;X-linked recessive|Infancy<br>Neonatal|125800 304800
2230	2230|Hypogonadotropic hypogonadism-frontoparietal alopecia syndrome|<1 / 1 000 000|Autosomal dominant|Childhood|
2232	2232|Primary hypergonadotropic hypogonadism-partial alopecia syndrome|<1 / 1 000 000|Autosomal recessive|Neonatal|241090
2233	2233|Hypogonadism-mitral valve prolapse-intellectual disability syndrome|<1 / 1 000 000|Unknown|Infancy|
2234	2234|Male hypergonadotropic hypogonadism-intellectual disability-skeletal anomalies syndrome|<1 / 1 000 000|Unknown|Neonatal|307500
2235	2235|Hypogonadotropic hypogonadism-retinitis pigmentosa syndrome|<1 / 1 000 000|Unknown|No data available|
2237	2237|Hypoparathyroidism-deafness-renal disease syndrome|<1 / 1 000 000|Autosomal dominant|Childhood|146255
223713	223713|Mitochondrial oxidative phosphorylation disorder|-|-|-|
223727	223727|Bone sarcoma|1-9 / 100 000|-|-|
223735	223735|Lymphoma|-|-|-|
2238	2238|Familial isolated hypoparathyroidism|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;X-linked recessive|All ages|146200 307700 601198 615361
2239	2239|Familial isolated hypoparathyroidism due to agenesis of parathyroid gland|<1 / 1 000 000|Autosomal recessive<br>or&nbsp;X-linked recessive|Infancy<br>Neonatal|307700
224	224|Neonatal diabetes mellitus|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;Not applicable|Infancy<br>Neonatal|
2241	2241|Megacystis-microcolon-intestinal hypoperistalsis syndrome|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive|Infancy<br>Neonatal|249210
2246	2246|Cerebellar hypoplasia-tapetoretinal degeneration syndrome|<1 / 1 000 000|-|Infancy|213000
2248	2248|Hypoplastic left heart syndrome|Unknown|Unknown|Neonatal<br>Antenatal|241550 614435
2249	2249|Ulna hypoplasia-intellectual disability syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|276821
225	225|Maternally-inherited diabetes and deafness|1-9 / 1 000 000|Mitochondrial inheritance|All ages|520000
2250	2250|Hyposmia-nasal and ocular hypoplasia-hypogonadotropic hypogonadism syndrome|<1 / 1 000 000|Unknown|Infancy<br>Neonatal|603457
2251	2251|Thumb deformity-alopecia-pigmentation anomaly syndrome|<1 / 1 000 000|-|-|188150
225123	225123|Hemochromatosis type 3|<1 / 1 000 000|Autosomal recessive|Adolescent<br>Adult|604250
225147	225147|Sporadic infantile bilateral striatal necrosis|1-9 / 1 000 000|Not applicable|All ages|
225154	225154|Familial infantile bilateral striatal necrosis|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;Mitochondrial inheritance|Infancy<br>Neonatal|271930 500003
2252	2252|Radial hypoplasia-triphalangeal thumbs-hypospadias-maxillary diastema syndrome|-|-|-|179250
2253	2253|Foveal hypoplasia-presenile cataract syndrome|<1 / 1 000 000|Autosomal dominant|Adult|136520
2254	2254|Pontocerebellar hypoplasia type 1|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|607596 614678 616081
2255	2255|Pancreatic hypoplasia-diabetes-congenital heart disease syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|All ages|600001
2256	2256|Fibulo-ulnar hypoplasia-renal anomalies syndrome|<1 / 1 000 000|-|Antenatal<br>Neonatal|228940
225681	225681|Lysosomal disease with epilepsy|-|-|-|
225686	225686|Peroxisomal disease with epilepsy|-|-|-|
225689	225689|Amino acid or protein metabolism disease with epilepsy|-|-|-|
225692	225692|Metal transport or utilization disorder with epilepsy|-|-|-|
225696	225696|Energy metabolism disorder with epilepsy|-|-|-|
2257	2257|Primary pulmonary hypoplasia|-|-|-|265430
225700	225700|Mitochondrial disease with epilepsy|-|-|-|
225703	225703|Mitochondrial disease with peripheral neuropathy|-|-|-|
225707	225707|Metabolic neurotransmission anomaly with epilepsy|-|-|-|
225710	225710|Sterol metabolism disorder with epilepsy|-|-|-|
225713	225713|Other metabolic disease with epilepsy|-|-|-|
2258	2258|Congenital unilateral pulmonary hypoplasia|-|-|-|
225968	225968|Inherited predisposition to essential thrombocythemia|Unknown|Autosomal dominant|All ages|
226	226|Dihydropteridine reductase deficiency|Unknown|Autosomal recessive|Infancy<br>Neonatal|261630
2260	2260|Oligomeganephronia|Unknown|Multigenic/multifactorial|All ages|
2261	2261|Hypospadias-intellectual disability, Goldblatt type syndrome|<1 / 1 000 000|-|Neonatal<br>Infancy|241760
226292	226292|Permanent congenital hypothyroidism|Unknown|Autosomal recessive<br>or&nbsp;Not applicable|Infancy<br>Neonatal|
226295	226295|Primary congenital hypothyroidism|1-5 / 10 000|-|-|
226298	226298|Central congenital hypothyroidism|Unknown|-|-|
226307	226307|Hypothyroidism due to deficient transcription factors involved in pituitary development or function|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive|-|
226310	226310|Peripheral hypothyroidism|Unknown|-|-|
226313	226313|Congenital hypothyroidism due to maternal intake of antithyroid drugs|-|-|-|
226316	226316|Genetic transient congenital hypothyroidism|-|-|-|
2266	2266|Hypotrichosis-intellectual disability, Lopes type|<1 / 1 000 000|Autosomal recessive|Infancy<br>Childhood|
2267	2267|Sidransky-Feinstein-Goodman syndrome|-|Autosomal dominant|-|146720
2268	2268|ICF syndrome|<1 / 1 000 000|Autosomal recessive|Childhood|242860 614069 616910 616911
2269	2269|Ichthyosis-alopecia-eclabion-ectropion-intellectual disability syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|242510
227	227|Diphallia|<1 / 1 000 000|-|Infancy<br>Neonatal|
2271	2271|Congenital ichthyosis-microcephalus-tetraplegia syndrome|<1 / 1 000 000|Unknown|Infancy<br>Neonatal|
2272	2272|Ichthyosis-oral and digital anomalies syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|258840
2273	2273|Ichthyosis follicularis-alopecia-photophobia syndrome|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;X-linked recessive<br>or&nbsp;Not applicable|Infancy<br>Neonatal|308205
2274	2274|Ichthyosis-hepatosplenomegaly-cerebellar degeneration syndrome|<1 / 1 000 000|Autosomal recessive<br>or&nbsp;X-linked recessive|Infancy<br>Neonatal|242520
227510	227510|Multiple system atrophy, cerebellar type|1-9 / 100 000|Not applicable|Adult|
227535	227535|Hereditary breast cancer|-|-|-|114480 600048 604370 605365 612555 613399
227786	227786|Familial flecked retinopathy|-|-|-|
227796	227796|Fundus albipunctatus|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive|Childhood|136880
2278	2278|Ichthyosis-intellectual disability-dwarfism-renal impairment syndrome|-|-|-|242530
227972	227972|Toxic oil syndrome|Unknown|Not applicable|All ages|
227976	227976|Autosomal recessive optic atrophy, OPA7 type|<1 / 1 000 000|Autosomal recessive|Childhood|612989
227982	227982|Autoimmune polyendocrinopathy type 3|-|Multigenic/multifactorial|All ages|
227990	227990|Autoimmune polyendocrinopathy type 4|-|Multigenic/multifactorial|Adult|
228000	228000|Idiopathic CD4 lymphocytopenia|Unknown|Not applicable|Adult|615518
228003	228003|Severe combined immunodeficiency due to CORO1A deficiency|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|615401
228012	228012|Progressive sensorineural hearing loss-hypertrophic cardiomyopathy syndrome|<1 / 1 000 000|Autosomal dominant|All ages|606346
228113	228113|Anal fistula|1-5 / 10 000|-|-|
228116	228116|Hughes-Stovin syndrome|<1 / 1 000 000|Not applicable|Adult|
228119	228119|Fusariosis|Unknown|Not applicable|All ages|
228123	228123|Coccidioidomycosis|Unknown|Not applicable|All ages|
228140	228140|Idiopathic ventricular fibrillation, non Brugada type|Unknown|Autosomal dominant<br>or&nbsp;Not applicable|All ages|603829 612956
228145	228145|Multiple sclerosis variant|-|-|-|
228157	228157|Marburg acute multiple sclerosis|Unknown|Multigenic/multifactorial|Adult|
228165	228165|BalÃ³ concentric sclerosis|Unknown|Multigenic/multifactorial|Adult|
228169	228169|Autosomal dominant striatal neurodegeneration|<1 / 1 000 000|Autosomal dominant|Adult|609161
228174	228174|Autosomal dominant Charcot-Marie-Tooth disease type 2N|<1 / 1 000 000|Autosomal dominant|All ages|613287
228179	228179|Autosomal dominant Charcot-Marie-Tooth disease type 2M|<1 / 1 000 000|Autosomal dominant|All ages|606482
228184	228184|Heart-hand syndrome|-|-|-|
228190	228190|Patent ductus arteriosus-bicuspid aortic valve-hand anomalies syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|604381
2282	2282|Dysmorphism-short stature-deafness-disorder of sex development syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|
228215	228215|Genetic dermis elastic tissue disorder|-|-|-|
228218	228218|Acquired dermis elastic tissue disorder|-|-|-|
228221	228221|Acquired dermis elastic tissue disorder with decreased elastic tissue|-|-|-|
228224	228224|Acquired dermis elastic tissue disorder with increased elastic tissue|-|-|-|
228227	228227|Late-onset focal dermal elastosis|<1 / 1 000 000|Not applicable|Adult|
228236	228236|Linear focal elastosis|<1 / 1 000 000|Not applicable|All ages|
228240	228240|Elastoderma|<1 / 1 000 000|Not applicable|Adolescent<br>Adult|
228243	228243|Elastofibroma dorsi|-|Not applicable|Adult|
228247	228247|Acquired pseudoxanthoma elasticum|<1 / 1 000 000|Not applicable|Adult|
228254	228254|Elastoma|Unknown|Not applicable|Childhood|
228264	228264|Papular elastorrhexis|<1 / 1 000 000|Not applicable|All ages|
228272	228272|Primary anetoderma|Unknown|Not applicable|All ages|
228277	228277|Familial anetoderma|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive|All ages|
228285	228285|Acquired cutis laxa|Unknown|Not applicable|All ages|
228290	228290|White fibrous papulosis of the neck|Unknown|Not applicable|Adult|
228293	228293|Pseudoxanthoma elasticum-like papillary dermal elastolysis|Unknown|Not applicable|Adult|
228299	228299|Mid-dermal elastolysis|Unknown|Not applicable|Adult|
228302	228302|Carnitine palmitoyl transferase II deficiency, myopathic form|Unknown|Autosomal recessive|All ages|255110
228305	228305|Carnitine palmitoyl transferase II deficiency, severe infantile form|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|600649
228308	228308|Carnitine palmitoyl transferase II deficiency, neonatal form|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|608836
228312	228312|Autoimmune hemolytic anemia, cold type|1-9 / 100 000|Multigenic/multifactorial|All ages|
228315	228315|Idiopathic hypersomnia with long sleep time|Unknown|-|Childhood|
228318	228318|Idiopathic hypersomnia without long sleep time|1-9 / 1 000 000|-|Adolescent<br>Adult|
228329	228329|CLN1 disease|-|Autosomal recessive|All ages|256730
228337	228337|CLN10 disease|-|Autosomal recessive|All ages|610127
228340	228340|CLN4A disease|-|Autosomal recessive|Adult|204300
228343	228343|CLN4B disease|-|Autosomal dominant|Adult|162350
228346	228346|CLN3 disease|-|Autosomal recessive|Childhood|204200
228349	228349|CLN2 disease|-|Autosomal recessive|Childhood|204500
228354	228354|CLN8 disease|-|Autosomal recessive|Childhood|600143
228357	228357|CLN9 disease|-|Autosomal recessive|Childhood|609055
228360	228360|CLN5 disease|-|Autosomal recessive|Childhood|256731
228363	228363|CLN6 disease|-|Autosomal recessive|Childhood|601780
228366	228366|CLN7 disease|-|Autosomal recessive|Childhood|610951
228371	228371|Foodborne botulism|Unknown|-|All ages|
228374	228374|Charcot-Marie-Tooth disease type 2B5|<1 / 1 000 000|Autosomal recessive|Childhood<br>Infancy|
228379	228379|Virus-associated trichodysplasia spinulosa|<1 / 1 000 000|Not applicable|All ages|
228384	228384|5q14.3 microdeletion syndrome|<1 / 1 000 000|Not applicable<br>or&nbsp;Unknown|Infancy<br>Neonatal|613443
228387	228387|Spondylo-megaepiphyseal-metaphyseal dysplasia|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|613330
228390	228390|Frontonasal dysplasia with alopecia and genital anomaly|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|613451
228396	228396|Ptosis-upper ocular movement limitation-absence of lacrimal punctum syndrome|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|
228399	228399|8q12 microduplication syndrome|<1 / 1 000 000|Not applicable<br>or&nbsp;Unknown|Infancy<br>Neonatal|
228402	228402|2q23.1 microdeletion syndrome|<1 / 1 000 000|Not applicable<br>or&nbsp;Unknown|Infancy<br>Neonatal|156200
228410	228410|Polyvalvular heart disease syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|
228415	228415|5q35 microduplication syndrome|<1 / 1 000 000|Not applicable<br>or&nbsp;Unknown|Childhood|
228423	228423|Monocytopenia with susceptibility to infections|<1 / 1 000 000|Autosomal dominant<br>or&nbsp;Not applicable|Adult|614172
228426	228426|Syndromic multisystem autoimmune disease due to Itch deficiency|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|613385
228429	228429|Generalized congenital lipodystrophy with myopathy|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|613327
2285	2285|Primary basilar invagination|Unknown|Autosomal dominant|All ages|109500
2286	2286|Solitary median maxillary central incisor syndrome|Unknown|Multigenic/multifactorial|Childhood|147250
2287	2287|Fused mandibular incisors|-|-|-|147251
2289	2289|Neuronal intranuclear inclusion disease|Unknown|-|All ages|603472
229	229|Familial aortic dissection|-|-|All ages|607086
2290	2290|Microvillus inclusion disease|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|251850
2291	2291|Congenital velopharyngeal incompetence|-|-|-|167500
2292	2292|Congenital bowing of long bones|Unknown|Autosomal recessive|Infancy<br>Neonatal|211355 264050
2295	2295|Ehlers-Danlos syndrome type 11|Unknown|Autosomal dominant|Adolescent<br>Infancy<br>Childhood|147900
2297	2297|Insulin-resistance syndrome type A|Unknown|Autosomal dominant<br>or&nbsp;Autosomal recessive|Childhood|610549
229717	229717|Isolated agammaglobulinemia|1-9 / 1 000 000|Autosomal dominant<br>or&nbsp;Autosomal recessive<br>or&nbsp;X-linked recessive|Infancy<br>Neonatal|300310 300755 601495 612692 613500 613501 613502 613506 615214 616941
229720	229720|Syndromic agammaglobulinemia|-|-|-|
2298	2298|Insulin-resistance syndrome type B|Unknown|Not applicable|Adult|
2299	2299|Aortic arch interruption|Unknown|Not applicable|Infancy<br>Neonatal|
23	23|Argininosuccinic aciduria|1-9 / 100 000|Autosomal recessive|Neonatal<br>All ages|207900
230	230|Dopamine beta-hydroxylase deficiency|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|223360
2300	2300|Multiple intestinal atresia|-|Autosomal recessive|Neonatal|243150
2301	2301|Congenital short bowel syndrome|<1 / 1 000 000|Autosomal recessive<br>or&nbsp;X-linked recessive|Neonatal<br>Infancy|300048 615237
2302	2302|Asbestos intoxication|-|-|-|
2305	2305|Isotretinoin syndrome|Unknown|Not applicable|Infancy<br>Neonatal|
2306	2306|Isotretinoin-like syndrome|<1 / 1 000 000|Autosomal recessive<br>or&nbsp;X-linked recessive|Infancy<br>Neonatal|243440
2307	2307|IVIC syndrome|<1 / 1 000 000|Autosomal dominant|Antenatal<br>Neonatal|147750
2308	2308|Jacobsen syndrome|Unknown|Not applicable<br>or&nbsp;Unknown|Neonatal<br>Antenatal|147791
230800	230800|Toxin-mediated infectious botulism|Unknown|-|All ages|
230839	230839|Ehlers-Danlos syndrome due to tenascin-X deficiency|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|606408
230845	230845|Ehlers-Danlos syndrome, vascular-like type|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|
230851	230851|Ehlers-Danlos syndrome, cardiac valvular type|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|225320
230857	230857|Ehlers-Danlos/osteogenesis imperfecta syndrome|<1 / 1 000 000|Autosomal dominant|Infancy<br>Neonatal|
2309	2309|Pachyonychia congenita|Unknown|Autosomal dominant|All ages|167200 167210 260130 615726 615728
231	231|Dracunculiasis|<1 / 1 000 000|-|All ages|
2310	2310|Absence deformity of leg-cataract syndrome|<1 / 1 000 000|-|-|246000
231013	231013|Congenital trigeminal anesthesia|Unknown|Not applicable|Infancy<br>Neonatal|122450
231031	231031|Erythema palmare hereditarium|Unknown|Autosomal dominant|Infancy<br>Neonatal|133000
231040	231040|Familial generalized lentiginosis|Unknown|Autosomal dominant<br>or&nbsp;Unknown|All ages|151001
231080	231080|High-grade dysplasia in patients with Barrett esophagus|-|-|-|
2311	2311|Autosomal recessive spondylocostal dysostosis|Unknown|Autosomal recessive|Neonatal<br>Antenatal|277300 608681 609813 613686 616566
231108	231108|Familial rhabdoid tumor|<1 / 1 000 000|Autosomal dominant|Childhood|609322 613325
231111	231111|Drug-induced lupus erythematosus|Unknown|Not applicable|All ages|
231117	231117|Beckwith-Wiedemann syndrome due to imprinting defect of 11p15|-|-|Infancy<br>Neonatal|
231120	231120|Beckwith-Wiedemann syndrome due to CDKN1C mutation|-|Autosomal dominant|Infancy<br>Neonatal|
231127	231127|Beckwith-Wiedemann syndrome due to 11p15 microdeletion|-|-|-|
231130	231130|Beckwith-Wiedemann syndrome due to 11p15 translocation/inversion|-|-|Infancy<br>Neonatal|
231137	231137|Silver-Russell syndrome due to 7p11.2p13 microduplication|-|Autosomal dominant<br>or&nbsp;Not applicable|Infancy<br>Neonatal|
231140	231140|Silver-Russell syndrome due to an imprinting defect of 11p15|-|Not applicable<br>or&nbsp;Unknown|-|
231144	231144|Silver-Russell syndrome due to 11p15 microduplication|-|Autosomal dominant<br>or&nbsp;Not applicable|-|
231147	231147|Silver-Russell syndrome due to maternal uniparental disomy of chromosome 11|<1 / 1 000 000|Not applicable<br>or&nbsp;Unknown|Infancy<br>Neonatal|
231154	231154|Combined immunodeficiency due to partial RAG1 deficiency|<1 / 1 000 000|Autosomal recessive|Infancy<br>Neonatal|609889
231160	231160|Familial cerebral saccular aneurysm|-|Autosomal dominant<br>or&nbsp;Autosomal recessive|All ages|105800 300870 608542 609122 610213 611892 612161 612162 612586 612587 614252
231169	231169|Usher syndrome type 1|1-9 / 100 000|Autosomal recessive|Infancy<br>Neonatal|276900 276904 601067 602083 602097 606943 612632 614869 614990
231178	231178|Usher syndrome type 2|1-9 / 100 000|Autosomal recessive|Infancy<br>Childhood<br>Adolescent|276901 605472 611383
231183	231183|Usher syndrome type 3|1-9 / 1 000 000|Autosomal recessive|Childhood<br>Adolescent|276902 500004 614504
2312	2312|Transient familial neonatal hyperbilirubinemia|-|-|-|237900
231214	231214|Beta-thalassemia major|Unknown|Autosomal recessive|Infancy<br>Neonatal|613985
231222	231222|Beta-thalassemia intermedia|Unknown|Autosomal recessive|Childhood|613985
231226	231226|Dominant beta-thalassemia|Unknown|Autosomal dominant|Childhood|603902
231230	231230|Beta-thalassemia associated with another hemoglobin anomaly|-|Autosomal dominant<br>or&nbsp;Autosomal recessive|All ages|
231237	231237|Delta-beta-thalassemia|Unknown|Autosomal recessive|Infancy<br>Neonatal|141749
231242	231242|Hemoglobin C-beta-thalassemia syndrome|Unknown|Autosomal recessive|-|
231249	231249|Hemoglobin E-beta-thalassemia syndrome|Unknown|Autosomal recessive|-|
