MIM Orpha;
260530 2812;
260540 240085;683;99750;
260565 2836;99807;
260600 280270;280293;
260650 2837;
260660 93333;
260800 2843;
260910 345;
260920 343;
261000 332;
261100 35858;
261515 300;
261540 709;
261550 2856;
261560 2871;
261575 2876;
261600 2209;716;
261630 226;238583;
261640 13;238583;
261650 2880;
261670 97234;
261680 2880;
261740 439854;
261750 79240;
261800 718;
261900 2889;
261990 2891;
262000 123;
262020 2892;
262190 769;
262300 49382;
262400 231662;631;
262500 633;
262600 90695;95494;
262650 629;631;
262700 85442;
262850 79;
262890 806;
263000 98852;
263200 731;
263300 729;
263400 238557;
263450 93334;
263520 93269;
263540 2916;
263570 206583;367;
263630 2934;
263650 1234;
263700 79277;
263750 246;
263800 358;
264010 3409;
264050 2292;
264070 1578;238583;
264090 3455;
264180 85174;
264270 2975;
264300 752;
264350 171876;756;
264420 59181;
264470 2971;
264475 2980;
264480 2166;
264600 753;
264700 289157;
264800 758;
265000 2990;
265050 293843;
265100 60025;
265120 217563;
265140 2038;
265150 1208;
265300 2414;
265380 210122;
265400 422;
265430 2257;
265450 31837;
265500 3189;
265800 763;
265880 3003;
265900 3005;
266100 3006;
266120 35120;
266130 289846;32;
266150 3008;
266200 766;
266255 3270;
266265 2968;99843;
266270 3019;
266280 3021;
266500 773;
266510 44;772;
266900 3156;
266910 3404;
266920 140969;
267000 2849;
267010 3032;
267200 2785;
267300 18;402041;
267400 1092;
267430 3033;97369;
267450 70587;
267500 33355;
267700 540;
267730 86900;
267750 1571;
267760 1574;
267800 99002;
268000 791;
268020 3085;
268025 791;
268040 3087;
268060 791;
268100 53540;
268130 3088;
268150 71275;
268200 99845;
268210 780;99757;
268220 780;99756;
268240 3099;
268250 3098;
268300 3103;
268305 3102;
268310 1507;97360;
268320 1806;
268400 2909;
268700 3124;
268800 309155;309162;309169;796;
268850 2511;
268900 3129;
269000 3103;
269150 798;
269160 799;
269200 3143;
269250 3144;
269300 85184;
269400 289499;
269500 3152;
269600 158029;
269700 528;
269720 1949;
269840 911;
269860 93268;
269880 3163;
269920 309324;834;
269921 3166;
270100 450;
270200 816;
270300 263543;263553;
270400 818;
270420 103908;
270450 73273;
270460 1355;
270550 98;
270685 100998;
270700 100996;
270710 2823;
270750 101003;
270800 100986;
270850 2818;
270950 3011;
270960 399805;
270970 822;
271150 70;83420;
271245 1186;
271250 95433;
271270 1185;
271310 3177;
271320 2572;
271400 101351;
271510 93357;
271520 94095;
271530 448242;
271550 1855;
271600 93284;
271620 163665;
271630 448242;
271640 93359;
271650 93351;
271665 93358;
271700 1856;
271900 141;
271930 1576;225154;
271950 3092;99051;
271960 3191;
271980 22;
272100 59298;
272200 585;
272300 833;99731;
272350 3210;
272430 157820;
272440 3255;
272460 3275;
272600 1178;
272700 3289;
272750 309246;
272800 845;
272950 3291;
272980 2731;
273050 2972;
273250 983;
273300 363483;363494;363504;842;876;99865;
273395 3301;
273400 2723;
273490 3311;
273730 1861;
273740 1803;
273750 2616;
273800 849;
273900 168629;268322;
274000 3320;
274150 54057;93583;
274190 2951;
274205 2489;
274230 99867;
274240 3327;
274265 3326;
274270 1675;
274300 3221;
274400 95716;
274500 95716;
274600 705;
274700 95716;
274800 95716;
274900 95716;
275100 90674;
275120 238670;
275200 90673;
275210 1662;
275220 93322;
275300 3347;
275350 859;
275355 67037;
275400 3363;
275450 3355;
275595 3368;
275630 98907;
275900 101000;
276300 252202;
276600 28378;
276700 882;
276710 69723;
276820 2879;
276821 2249;
276880 210128;
276900 231169;886;
276901 231178;886;
276902 231183;886;
276904 231169;886;
276950 3412;
277000 247775;3109;
277170 2754;
277175 3018;
277180 48;
277200 439;
277300 2311;
277320 1876;
277350 199285;
277380 26;79284;
277400 26;79282;
277410 26;28;308380;308442;622;79283;
277440 93160;
277450 98434;
277460 96;
277470 2524;
277480 166096;903;
277580 897;
277590 3447;
277600 3449;
277610 3450;
277700 902;
277720 2053;
277740 2475;
277900 905;
277950 3460;371428;85196;
277970 906;
277990 3080;
278000 275761;75233;75234;
278150 170;55654;
278200 1409;
278250 2834;357058;
278300 3467;93601;
278700 910;
278720 910;
278730 220295;910;
278740 910;
278750 90342;
278760 220295;910;
278780 1466;191;220295;910;
278850 393;
279000 3471;
280000 3474;
300000 2745;306597;
300001 461;
300004 2508;
300009 1652;93622;
300018 242;
300029 791;
300030 90625;
300042 700;
300046 777;
300047 777;
300048 2301;2978;
300049 2149;98892;
300055 3077;
300062 777;
300064 2898;
300066 90625;
300067 2148;99796;
300068 99429;
300071 215;
300073 994;
300076 2571;
300085 1871;
300088 101039;2076;
300100 139396;139399;43;
300106 93349;
300114 777;
300115 777;
300123 231692;631;67045;
300143 777;
300147 1331;
300148 85282;
300155 791;
300166 2712;568;
300194 86818;
300200 95702;
300209 79022;
300210 777;
300215 452;
300216 190;
300218 85274;
300219 456328;
300220 85295;
300221 391;
300232 168448;
300238 85286;
300243 85278;
300244 88630;
300245 91411;
300257 34587;
300258 353298;
300261 85276;
300262 85273;
300263 85287;
300266 100997;
300270 977;
300271 777;
300274 99429;
300291 238468;98813;
300299 86788;
300301 69088;
300310 229717;47;
300322 510;
300323 79233;
300324 777;
300331 71493;
300337 435;
300345 98938;
300352 52503;
300354 85293;
300355 777;
300360 85289;
300367 67044;
300372 777;
300373 2780;
300376 98895;
300387 777;
300388 268940;98889;
300400 276;
300419 777;
300423 2076;93952;
300424 791;
300428 777;
300431 1193;
300433 777;
300434 85288;
300436 777;
300438 391417;
300448 231401;
300454 777;
300455 247522;
300471 85280;
300472 52055;
300475 369939;369942;
300476 1872;
300484 2755;
300486 137831;
300489 139557;
300491 85294;
300498 777;
300500 54;
300504 777;
300505 777;
300510 243;
300514 84;
300518 777;
300519 85321;
300523 280270;59;
300534 85279;
300537 82004;
300539 93606;
300554 1652;93622;
300555 1652;93623;
300557 2828;
300558 777;
300559 715;
300578 85332;
300580 2020;
300582 314795;
300590 199;
300600 178333;
300605 791;
300607 163985;2076;
300612 3056;
300614 139583;
300615 3057;
300623 93256;
300624 449291;908;
300633 440;
300635 2442;
300636 319605;319612;
300643 163721;
300645 319605;319623;
300650 1000;
300652 95429;
300653 713;
300660 83629;
300661 3222;
300672 1934;3095;3451;
300673 209370;
300676 776;
300679 261476;
300695 431272;
300696 178461;261;98863;
300699 364028;
300700 998;
300703 314978;
300704 1331;
300705 777;
300706 85328;
300707 140952;
300709 85324;
300712 163979;
300716 777;
300717 97239;
300718 97239;
300749 163937;
300750 171607;
300751 75563;
300752 443197;
300755 229717;47;
300758 440;
300770 264675;
300778 98955;
300779 293621;
300801 217377;
300802 777;
300803 777;
300804 2754;
300813 3273;
300815 1762;
300816 238329;
300818 447;
300831 251383;
300833 393;
300834 1872;
300835 363727;
300842 59306;
300843 90001;
300844 777;
300845 280679;
300848 777;
300849 777;
300850 777;
300851 777;
300852 777;
300853 317476;
300854 319308;
300855 276432;
300856 440;
300857 803;
300858 289483;
300860 163956;
300863 163966;
300864 163961;
300867 2322;
300868 300496;
300869 261483;
300870 231160;
300881 1425;
300882 199;
300884 324422;
300886 324410;
300887 2556;
300888 329235;
300894 329284;
300895 293707;
300896 356961;
300905 352675;
300908 466026;
300909 100057;91385;
300910 391330;
300911 363654;
300912 85277;
300914 90625;
300915 431140;
300918 659;
300919 777;
300928 777;
300934 370927;
300942 300373;448372;
300943 963;
300946 124;
300952 2556;
300953 33364;
300957 457240;
300958 457260;
300960 401973;
300963 7;
300971 112;93604;
300977 3041;
300978 777;
300983 777;
300984 777;
300985 48;
301000 906;
301040 847;
301050 63;88917;
301200 100033;88661;
301201 100031;88661;
301220 85453;
301310 2802;
301410 268357;823;
301500 324;
301590 85275;
301790 85297;
301800 557;
301815 1484;
301830 1145;
301835 1187;
301840 85292;
301845 113;
301900 127;
301940 2565;
301950 1131;
302000 1867;
302030 391327;
302045 154;
302060 111;
302200 91492;
302350 627;
302380 1388;
302500 1175;
302700 43;
302800 101075;
302801 101076;
302802 101077;
302905 921;
302950 79345;
302960 35173;
303100 180;
303110 1435;
303350 2466;275543;
303400 324601;
303600 192;
303650 1198;
303700 16;1872;
304020 1872;
304030 1871;
304050 50;
304100 1497;275543;
304110 1520;
304120 669;90652;
304150 198;
304340 1568;85335;
304350 90646;
304400 383;
304500 90625;
304700 52368;
304730 1661;
304790 37042;
304800 223;
304900 178029;30925;
304950 239;
305000 1775;3322;
305100 181;238468;
305200 75497;
305350 302;
305390 891;
305400 915;
305435 251380;46532;
305550 97232;
305600 2092;
305620 1826;
305800 54370;
306000 264580;
306400 379;
306700 98878;
306900 98879;
306950 2140;
306955 450;
306980 2150;
306990 2570;
307000 2182;275543;
307010 1397;
307030 408;
307150 2222;79495;
307200 231692;631;632;
307500 2234;
307700 2238;2239;
307800 89936;
307830 94088;
308050 139;
308100 281090;461;
308205 2273;85284;
308230 101088;183663;
308240 2442;
308300 464;
308350 1934;3175;3451;364063;
308700 432;478;
308800 2340;
308830 2339;
308850 2375;
308905 104;
308940 1018;
308950 510;
308990 1652;93622;
309000 534;
309120 399805;
309300 91489;
309350 2484;
309400 565;
309480 3052;
309500 3242;
309510 94083;
309520 776;
309530 777;
309541 369962;
309545 85290;
309548 100973;
309549 777;
309555 3078;
309560 2824;
309580 73220;93970;93971;93972;93973;93974;93975;
309583 3063;
309585 3459;
309605 85283;
309610 2958;
309620 1436;
309630 2498;
309640 163982;
309800 568;
309801 2556;
309900 580;
310200 98896;
310300 261;98863;
310370 308;
310400 596;
310440 25980;
310465 2608;
310468 1652;93622;
310490 101078;
310500 215;
310600 649;
310980 660;
311050 98890;
311070 99014;
311200 2750;
311250 664;
311280 2779;
311300 669;90650;
311450 2804;
311510 2379;
311895 2888;
311900 2886;
312000 90695;
312060 2966;
312080 702;
312150 79447;
312170 765;79243;
312190 3016;
312300 90797;
312550 1852;
312600 791;
312612 791;
312700 792;
312750 3095;778;
312780 813;
312830 3134;
312840 85285;
312860 1514;
312870 373;
312910 2815;
312920 99015;
313200 481;
313350 2440;
313400 93284;
313420 168544;
313500 99798;
313850 1335;
313900 268322;852;
314050 231393;
314250 53351;
314300 3341;
314320 3369;
314360 1122;
314390 3412;
314400 1864;
314500 3417;
314560 903;
314580 3454;
314600 3456;
400004 791;
400021 391;
400042 1646;
400044 242;
400045 2138;393;
415000 1646;
424500 206484;
500000 137675;
500001 99718;
500002 2596;
500003 1576;225154;
500004 231183;886;
500008 90641;
500009 254864;
500011 2598;
520000 225;
520100 1670;
530000 480;
535000 104;
540000 550;
545000 551;
550500 99845;
551000 254857;
551500 644;
557000 699;
560000 3390;
580000 168609;
598500 3463;
600000 3180;
600001 2255;
600002 79106;
600048 227535;
600057 322;93930;
600059 791;
600060 90636;
600072 466;
600081 289157;
600092 1422;
600096 3010;
600101 90635;
600105 791;
600110 827;
600116 2828;
600117 1799;
600118 2510;
600121 177;309803;
600122 2983;
600123 1352;
600131 64280;
600132 791;
600138 791;
600142 199354;
600143 168491;228354;79264;
600145 3027;3169;
600151 110;
600155 388;
600156 388;
600159 2988;
600165 35612;
600166 99878;
600175 1216;
600176 2798;
600193 3440;895;
600195 2451;
600204 166002;
600208 182050;
600209 321;
600223 98765;
600224 98766;
600231 2337;
600251 141258;
600252 2409;
600268 3339;
600269 2832;
600273 88924;
600274 282;
600302 2429;
600309 98722;
600316 90636;
600325 221120;
600329 85179;
600331 2825;
600332 97238;
600334 609;
600348 99796;
600360 1115;
600361 64751;
600363 100988;
600373 1458;
600376 774;
600383 2496;
600384 1113;
600399 2835;
600416 269;
600430 1001;
600457 3387;
600459 1682;
600460 2008;
600461 1046;
600462 2598;
600467 423;
600496 552;
600512 101046;
600513 98784;
600546 808;
600559 2119;
600561 163662;
600624 1872;
600625 199306;
600627 2224;
600628 168;
600630 178338;
600634 314777;
600638 45358;
600643 53035;
600649 157;228305;
600652 90635;
600668 1416;
600674 83463;93976;
600679 141103;
600705 3130;
600721 79315;
600736 3424;
600740 101050;405;
600757 141291;199302;199306;
600775 2343;3267;35093;
600776 1104;
600785 93160;
600790 75373;
600791 90636;
600792 90636;
600794 139536;
600795 275864;282;
600802 35078;
600803 69663;
600852 791;
600880 131;
600881 91492;
600882 99936;
600884 154;
600886 163;
600901 84;
600903 906;
600919 101016;768;
600920 2460;
600955 71528;
600965 90635;
600969 166002;
600971 90636;
600972 932;93298;
600974 90636;
600975 98976;
600977 1872;
600989 1849;
600991 2180;
600994 90635;
600995 656;
600996 217656;
601001 89838;
601003 53347;
601005 65283;768;
601027 3328;
601042 53583;
601067 231169;886;
601068 86814;
601071 90636;
601072 90636;
601075 1117;
601076 2578;3109;
601086 450;
601095 2115;
601096 2641;
601098 101083;
601101 774;
601104 240071;683;
601110 79321;
601127 3304;
601144 130;
601152 90120;
601154 154;
601160 86822;
601162 100990;447753;
601163 2141;
601165 2001;
601186 2470;98938;
601187 1858;
601195 139507;
601198 112;2238;263417;428;
601200 284343;64742;
601202 91492;98988;98992;
601214 34217;
601216 2899;
601217 1014;
601220 2786;
601223 2978;
601224 52022;
601228 157794;
601230 1656;
601238 94122;
601277 313;
601287 219;
601316 90635;
601317 90635;
601319 1811;
601321 638;
601322 2941;
601338 1171;
601345 69083;
601349 3434;
601350 2867;
601351 3218;
601352 1948;
601353 1272;
601355 2516;
601358 3051;
601360 1027;
601362 1580;
601363 654;
601369 90635;
601370 2163;
601374 1126;
601375 1808;
601376 1421;
601378 1545;
601379 97340;
601382 99955;
601386 90636;
601390 314679;
601399 71290;
601410 99886;
601412 90635;
601414 791;
601419 98909;
601427 2321;
601438 2831;
601449 3235;
601450 2412;
601452 398156;
601453 3351;
601455 99950;
601457 331206;
601462 590;98913;
601471 306527;
601472 99938;
601492 67041;
601493 154;54260;
601494 154;54260;
601495 229717;33110;
601499 782;
601518 1331;
601536 69737;69739;
601539 44;772;
601543 90635;
601544 90635;
601547 1377;91492;
601549 91416;
601552 412022;
601553 1573;
601559 3206;
601560 166016;
601561 1804;
601583 654;
601596 99949;
601606 79493;867;
601612 1120;
601626 519;
601631 91483;98978;
601634 268357;823;
601650 29072;
601665 71529;
601668 168451;
601675 33364;
601678 112;93604;
601680 1147;
601701 3354;
601705 169095;
601706 3214;
601707 1553;
601709 220436;
601718 791;
601759 1926;
601764 306;
601776 2953;
601777 1872;
601780 168491;228363;79262;
601794 363741;
601803 884;
601808 1600;
601812 363665;
601813 891;
601820 276580;276603;79644;
601829 1787;
601847 172;79304;
601853 1532;
601859 3261;
601868 90635;
601869 90636;
601885 91492;
601887 423;
601888 423;
601894 84090;
601927 86915;
601952 281201;
601954 34514;
601957 69082;
601977 3318;71493;
601992 95;
602014 30924;
602025 217031;
602032 69084;
602066 31709;
602078 45358;
602079 468726;
602081 209908;
602082 98960;
602083 231169;886;
602085 93334;
602086 217656;
602087 217656;
602088 655;
602092 90636;
602093 1871;1872;
602096 1020;
602097 231169;886;
602099 300605;
602107 84093;
602111 1040;93356;
602114 171;
602152 140976;
602196 140;
602247 391665;
602248 679;
602271 168549;
602347 172;79305;
602361 2763;
602390 79230;
602398 35107;
602400 91132;
602401 99672;
602404 2828;
602433 357043;
602440 65684;
602450 275;
602459 90635;
602471 397623;
602473 51188;
602481 569;
602482 782;91483;98978;
602483 137888;
602484 2840;
602485 79299;
602497 79345;
602501 60040;
602522 112;89938;
602531 79094;
602535 561;
602540 477;
602541 280671;
602553 1590;
602554 256;
602557 93352;
602558 1524;
602562 357158;
602579 79319;
602588 52429;
602594 791;
602611 163649;
602612 1323;
602629 98806;
602668 606;
602722 18;402041;
602759 1331;
602771 324604;598;84132;97244;
602772 791;
602782 168569;
602849 53271;
602875 40;
602966 141291;199302;199306;
603010 90636;
603034 590;98915;
603041 298;
603098 90636;
603116 85199;
603147 79320;
603194 564;
603204 98784;
603218 157941;
603233 94089;
603278 656;
603284 221061;
603285 221061;
603358 53693;
603373 99819;
603386 319487;
603387 83473;
603438 3268;
603457 1135;2250;
603463 157788;
603467 84;
603471 247585;
603472 2289;
603511 34516;
603513 210141;
603516 98761;
603523 264688;
603543 69085;
603546 93360;
603552 540;
603553 540;
603554 39041;
603563 100989;
603569 141127;
603585 238459;
603592 3467;93602;
603596 2913;
603622 90635;
603629 90636;
603649 1872;
603671 1827;
603678 90636;
603688 1331;
603689 178464;
603720 90636;
603736 3047;
603737 35807;
603744 319487;
603786 827;
603802 2512;
603813 391665;
603829 228140;
603830 101016;768;
603860 34149;
603896 135;157713;157716;157719;99853;99854;
603902 231226;848;
603903 232;
603909 3261;
603964 90635;
603965 656;
604004 2478;
604060 90636;
604091 425;
604093 3406;
604116 1872;
604117 79395;
604121 314404;
604129 89843;
604131 846;
604145 154;
604168 48431;
604169 54260;
604173 221046;
604185 306530;
604187 100991;
604213 314597;
604218 85110;
604219 1377;91492;
604229 708;
604232 65;791;
604233 36387;
604250 225123;
604271 314802;
604273 254913;
604278 47159;93607;
604286 119;
604287 139411;
604288 154;
604290 48818;
604292 1896;
604302 85414;
604307 91492;
604314 293725;
604317 2512;
604320 98920;
604321 2512;
604326 98762;
604335 83452;99995;
604348 164736;
604356 233;
604360 2822;
604364 98820;
604367 79083;
604369 309334;834;
604370 145;227535;
604377 1561;
604379 170;55654;
604381 228190;
604387 655;
604391 251347;
604393 1872;65;791;
604400 217656;
604401 217656;
604403 36387;
604416 69126;
604432 98767;
604454 603;
604484 90117;
604498 3319;
604536 158668;
604537 65;
604547 888;
604559 871;
604563 99956;
604571 34592;
604625 99798;
604715 443236;
604717 90635;
604757 1541;
604765 154;
604772 3286;
604777 313;
604801 98893;
604802 157946;
604804 2512;
604805 100993;
604809 171700;
604827 307;
604841 828;90654;
604856 389;
604864 93279;
604901 168583;
604916 2729;
604919 64755;
604922 166277;
604928 3463;
604931 168588;
605013 443162;
605021 352582;
605027 547;
605039 97297;
605041 79493;
605055 1020;
605067 1209;
605074 47044;
605115 88660;
605130 319182;
605192 90635;
605229 100995;
605231 110;
605233 275523;
605244 1359;
605253 99951;
605258 101089;183666;
605259 98768;
605274 85170;
605275 648;
605280 100994;
605282 363417;
605285 99953;
605289 2440;
605293 98673;
605309 210548;
605355 98902;
605361 98763;
605362 217622;
605365 227535;
605373 29072;
605375 98784;
605376 450;
605387 91492;
605389 55654;
605407 101150;
605428 90636;
605432 71289;
605472 231178;886;
605479 65682;99961;
605526 1020;
605543 411602;
605544 2024;
605549 1872;
605582 154;
605583 90635;
605588 98856;
605589 101101;
605594 166260;
605627 66625;
605635 404;
605637 363677;79091;
605642 97290;
605670 67042;
605672 1173;
605676 65282;
605711 401869;
605714 100006;324703;324708;324713;324718;324723;85458;
605724 319462;
605726 139552;
605728 91492;98985;98992;98995;
605738 98938;
605749 91492;
605750 891;
605751 306;
605779 79144;
605808 179;
605809 590;98913;
605814 247598;
605818 90636;
605820 602;
605822 85194;
605827 168632;
605841 2073;
605850 243343;
605899 407;
605909 2828;
605911 35701;
605913 391320;
605934 2162;
605946 85188;
605967 85203;
606002 64753;
606003 101028;
606012 90635;
606054 35;
606056 79330;
606068 791;
606069 139491;
606070 600;803;
606071 99937;
606072 97238;
606129 124;
606159 157846;
606164 124;
606170 85201;
606176 79134;99885;
606187 1020;
606190 2495;
606215 98722;
606217 98722;
606232 48652;
606240 319487;
606243 163699;
606282 90635;
606324 2828;
606325 450;
606346 228012;90635;
606353 247604;
606367 169100;
606391 552;
606392 552;
606394 552;
606407 163690;163693;238523;
606408 230839;
606438 98934;
606445 300324;
606451 90635;
606482 100044;228179;
606483 100043;
606519 42775;
606545 281122;313;79394;
606552 79136;
606554 79135;
606574 79435;
606579 247871;
606593 99812;
606595 99940;
606612 370959;370968;370980;
606640 803;
606656 1980;
606658 98769;
606660 39044;
606661 39044;
606662 3440;895;
606664 289891;
606685 154;
606690 538;
606693 306674;314632;
606703 324588;
606705 90635;
606708 2440;
606713 888;
606719 404560;
606744 808;
606762 35878;
606763 244;
606764 44890;
606766 276234;
606768 178400;
606772 397973;
606773 141148;
606777 71277;
606785 205;79235;
606812 24;
606824 35710;
606835 85169;
606843 101090;183663;
606852 2828;
606854 101070;268940;
606856 1333;
606864 97286;
606874 388;
606875 388;
606889 1020;
606893 140436;
606937 83472;
606943 231169;886;
606952 352731;352737;79434;
606966 655;
606984 427;99764;
606995 3156;
606996 3156;
607004 93388;
607014 579;93473;
607015 579;93476;
607016 579;93474;
607017 90635;
607039 90636;
607060 411602;
607078 93311;
607084 90636;
607085 589;
607086 229;91387;
607087 91387;
607088 139547;
607091 79332;
607095 93347;
607101 90636;
607107 150;
607115 1451;
607116 1020;
607131 166024;
607136 98759;
607143 79324;
607151 2573;
607152 100999;
607155 34515;
607161 93267;
607174 263662;
607196 99742;
607197 90635;
607200 95716;
607208 33069;
607214 1094;
607225 293168;
607239 90636;
607248 182067;
607250 94124;
607258 2197;
607259 99013;
607271 275517;
607304 91492;98991;98992;98995;
607313 2744;
607317 95434;
607323 93293;959;
607324 93334;
607326 178355;
607330 46059;
607341 268994;269001;269008;65683;
607346 98772;
607361 564;
607364 112;93605;
607371 79107;
607398 361;
607411 466729;
607417 88616;
607426 255249;
607432 95232;99796;
607450 217656;
607453 90635;
607454 98773;
607458 98771;
607459 254881;70595;
607464 146;
607473 98434;
607475 85128;
607482 154;
607483 199348;65284;
607485 100070;282;
607516 569;
607541 98963;
607543 168552;
607554 334;
607569 34521;
607572 548;
607584 101004;
607594 1572;
607595 36383;
607596 2254;
607598 137776;
607600 89839;
607602 281139;312;
607616 77293;99022;
607624 381;79477;
607625 646;
607626 59303;
607628 307;
607631 1941;
607634 2783;
607636 3416;
607641 139589;
607644 1334;
607654 50942;
607655 293165;
607656 307766;
607658 307936;
607665 91500;
607671 98807;
607676 70592;
607677 99942;
607678 101084;
607681 64280;
607682 307;
607683 90635;
607684 99939;
607685 3260;
607688 411602;
607694 137639;447893;447896;77295;88637;
607706 101097;
607721 2701;
607728 79152;
607731 101102;
607734 101085;
607736 99943;
607745 140927;306;
607748 238475;
607765 79301;
607778 63446;
607785 86834;
607791 100046;
607801 265;
607812 50814;
607821 90636;
607822 1020;
607823 69735;
607829 741;
607831 101097;99944;
607832 656;
607836 247871;
607841 90635;
607842 141074;
607847 2688;
607855 258;
607859 1063;
607864 1756;
607872 1606;
607876 86814;
607903 55654;
607906 79326;
607907 31112;
607921 791;
607932 139471;
607936 289586;
607941 1478;
607948 3389;
608013 355;85212;
608022 66637;
608027 97249;
608029 284332;
608030 275872;803;
608031 803;
608033 88619;
608035 618;
608051 319640;
608068 3243;
608088 139564;
608091 2318;
608093 86309;
608096 98819;
608097 2149;98892;
608098 2149;98892;
608099 62;
608104 79325;
608105 163727;
608106 101092;183666;
608115 64739;
608133 791;
608149 254519;
608154 50811;
608156 178303;
608161 99000;
608180 295197;93403;
608184 101091;183666;
608189 103918;
608194 1872;
608203 183707;
608207 507;
608217 1949;
608219 90636;
608220 101005;
608224 90635;
608227 314993;
608232 521;
608233 183678;79430;
608236 140481;
608264 90636;
608265 90636;
608266 143;
608290 140936;
608323 100045;
608328 2084;3449;
608340 217055;
608354 137667;
608355 2346;90307;
608358 53698;
608361 93283;
608363 1727;
608371 141291;199302;199306;
608372 90635;
608380 791;
608389 52429;
608390 612;99734;99735;99736;
608391 247871;
608392 247871;
608393 2512;
608394 90635;
608406 52047;
608415 75374;
608423 55595;
608432 52054;
608443 88616;
608456 220460;247798;
608462 388;
608470 98961;
608471 98964;
608540 79327;
608542 231160;
608545 2370;
608553 65;
608562 93334;
608565 90636;
608567 166282;
608569 154;
608571 52056;
608572 1200;
608578 2649;
608579 36426;95455;
608583 334;
608591 99941;
608594 528;
608600 79084;
608611 440706;
608612 2457;90154;
608615 300576;
608627 803;
608629 220493;
608634 139525;
608636 238446;
608641 90635;
608643 35708;
608644 244;
608645 90635;
608646 244;
608647 244;
608649 88621;
608652 90635;
608653 90636;
608654 64752;
608656 1331;
608658 1331;
608670 364577;
608673 99945;
608681 2311;
608687 101110;
608688 250977;
608695 98977;
608696 98977;
608703 101111;
608709 79087;
608710 900;
608716 2512;
608728 156728;
608747 73272;
608768 98760;
608776 79328;
608779 79333;
608782 765;79246;
608796 2573;
608799 79322;
608800 168593;
608804 280270;280282;
608805 86820;
608807 140922;
608808 860;
608810 399058;
608816 307;
608836 157;228308;
608837 319340;
608840 370968;
608864 199306;
608874 141291;199302;199306;
608885 168577;
608890 3440;895;
608895 280598;
608898 540;
608908 98619;
608911 137914;
608930 590;98913;
608931 590;98913;
608940 85167;
608957 169085;
608970 99001;
608971 169154;169157;169160;
608978 3097;
608980 217266;
608988 334;
609006 90636;
609015 746;
609016 5;
609029 96170;
609033 88628;
609039 2073;
609040 217656;
609041 101007;
609048 618;
609049 2670;
609052 168555;
609053 84;
609054 84;
609055 228357;79264;
609056 171714;
609057 300333;
609060 137681;
609069 65288;
609115 55596;
609122 231160;
609128 65720;
609129 90635;
609135 88;
609136 163746;
609140 98973;
609141 98973;
609143 157808;
609152 424;
609153 90044;
609161 228169;
609162 137678;
609165 281190;
609166 50815;
609180 79323;
609192 60030;91387;
609195 101006;
609197 361;
609200 98911;
609218 397618;
609220 2771;
609227 381;79478;
609241 3137;79279;79281;
609242 3137;79280;
609254 3156;
609260 99947;
609265 524;
609266 524;
609270 284324;
609273 171439;
609283 254892;
609284 171433;171439;171881;
609285 171436;171439;171881;
609286 254892;
609299 1331;
609304 1934;1935;
609306 101112;
609307 98764;
609308 86812;
609310 144;
609311 99954;
609313 171851;
609322 231108;69077;99966;
609324 166029;
609325 166032;
609340 101008;
609345 1396;
609352 158681;
609376 91492;98991;98992;98995;
609384 45358;
609400 247871;
609402 275555;
609403 275555;
609404 275555;
609408 2162;
609425 65286;
609428 45358;
609432 157801;
609439 90636;
609442 1906;
609446 79137;
609452 98912;
609454 240071;683;
609460 66629;
609465 2725;
609470 54260;
609508 209867;828;90653;
609524 171445;
609528 66631;
609532 284102;
609533 90636;
609535 240935;
609536 169150;
609541 320406;
609549 35612;
609558 1331;
609560 254875;
609566 60015;
609572 166409;
609573 166409;
609578 75249;
609579 168624;
609583 220497;
609597 60015;
609612 45358;
609620 51083;
609621 51083;
609622 51083;
609625 96148;
609628 77297;
609629 2978;
609630 67038;
609634 569;
609636 1020;
609637 2162;
609638 158687;
609640 264200;
609646 90636;
609647 90636;
609655 50809;
609698 171706;
609706 90636;
609727 101009;
609734 71526;
609741 91492;
609757 96121;
609782 86;
609790 1020;
609796 263534;
609800 36387;
609812 552;
609813 2311;
609814 200421;2134;329918;54370;93571;93579;
609815 295187;93402;
609820 247511;
609821 36355;
609823 90636;
609886 34149;
609888 548;
609889 231154;
609893 97927;
609909 154;
609913 791;
609915 154;
609923 791;
609924 137754;
609941 90636;
609942 648;
609946 90636;
609952 90636;
609955 2024;
609965 90635;
609968 263458;
609975 71212;
609981 75391;
609993 75325;
610003 1947;
610006 79157;
610015 71278;
610017 3237;
610019 91492;98991;98992;98995;
610021 165991;
610024 49382;
610031 208444;268940;300573;
610042 163681;221150;
610048 101068;
610069 157794;
610071 99879;
610090 79096;
610092 98938;
610093 2542;
610099 399086;
610100 401964;
610102 169150;
610125 178364;99001;
610127 168486;168491;228337;79262;79264;
610131 254892;
610140 168796;
610143 90636;
610153 90636;
610154 90636;
610156 75858;
610158 98974;
610163 169160;
610168 284973;558;60030;91387;
610181 51;
610185 1766;
610187 2140;
610188 2318;
610189 3156;
610193 217656;
610198 66634;
610199 79118;
610202 91492;
610204 166068;
610205 261629;52;
610212 90636;
610213 231160;
610217 35069;
610220 90636;
610227 168606;
610234 295199;93403;
610245 101108;
610246 101109;
610247 73247;
610248 90636;
610250 101011;
610253 261494;
610256 83461;
610265 90636;
610282 791;
610283 1872;
610293 83639;
610297 2828;
610313 157820;
610321 1331;
610329 51;
610333 51;
610353 98784;
