Transcript(ucsc/known) exons start end
uc001mig.3 3 9860688 9950808
uc001mil.1 4 10326641 10328923
uc001min.1 15 10472223 10529126
uc001miq.3 1 10529433 10530723
uc001mir.1 1 10530773 10530804
uc001mis.1 6 10533224 10562774
uc001miv.2 6 10579412 10590365
uc001mja.3 25 10772810 10801290
uc001mjc.3 22 10818592 10830582
uc001mjl.2 3 10879763 10900823
uc001mjn.1 2 10905705 10920824
uc001mjo.2 11 11292420 11643561
uc001mjp.4 1 11373488 11374904
uc001mjr.3 27 11862969 11980872
uc001mjv.3 8 11984542 12030629
uc001mjz.3 28 12132137 12285331
uc001mkg.1 9 12308446 12380691
uc001mki.4 13 12399025 12556903
uc001mkl.2 2 13001080 13011095
uc001mkp.3 20 13299324 13408812
uc001mkz.3 9 13409555 13484838
uc001mlb.3 3 13513600 13517567
uc001mld.3 12 13690205 13753893
uc001mle.3 17 13984183 14289679
uc001mlf.4 6 14299465 14380730
uc001mlg.2 22 14479048 14521415
uc001mlk.3 10 14526421 14541991
uc001mln.3 16 14665268 14893604
uc001mlr.3 5 14899555 14913751
uc001mlw.1 4 14989219 14993832
uc001mlx.1 5 15095145 15100177
uc001mly.4 13 15133969 15268756
uc001mme.3 16 15987994 16424413
uc001mmk.2 5 16760147 16779901
uc001mmo.3 23 16809206 17035963
uc001mmp.3 6 17095938 17099220
uc001mmq.4 32 17108123 17191353
uc001mmw.3 14 17298285 17353070
uc001mmx.5 5 17336932 17371521
uc001mmz.4 5 17373308 17398868
uc001mna.3 1 17406795 17410206
uc001mnc.3 39 17414431 17498449
uc001mne.3 27 17515441 17565963
uc001mni.3 3 17741109 17743678
uc001mnm.3 11 17809596 18034637
uc001mnp.2 10 18042083 18062335
uc001mnq.3 12 18101889 18127638
uc001mnt.3 3 18134018 18137679
uc001mnu.3 3 18142501 18160027
uc001mnv.1 1 18194383 18195827
uc001mod.1 23 18300216 18343721
uc001moh.2 15 18343815 18388590
uc001mom.4 8 18433852 18472793
uc001mop.1 8 18477373 18501147
uc001mor.3 10 18501857 18548503
uc001mot.4 12 18552949 18610293
uc001mow.1 5 18621350 18631802
uc001mox.3 2 18624533 18625440
uc001moy.3 6 18627947 18656020
uc001moz.1 3 18720350 18726332
uc001mpc.4 15 18749474 18814268
uc001mpg.3 1 18955359 18956549
uc001mph.3 2 19076002 19082228
uc001mpi.3 17 19138691 19197967
uc001mpk.3 7 19203576 19232118
uc001mpo.2 13 19245609 19263167
uc001mpx.2 6 20385288 20405329
uc001mqb.3 16 20409075 20530879
uc001mqd.3 16 20620945 20676610
uc001mqe.3 20 20691116 21597229
uc001mqi.2 22 22214721 22304913
uc001mqk.3 12 22359666 22401046
uc001mql.1 1 22644078 22647387
uc001mqo.3 7 22696318 22834547
uc001mqp.4 4 22843597 22851382
uc001mqs.3 12 24518515 25104186
uc001mqt.4 27 26353677 26684836
uc001mqu.1 1 26524764 26526329
uc001mqw.3 5 26580578 26593815
uc001mra.2 15 26688565 26743574
uc001mrd.3 1 27015627 27018632
uc001mre.1 9 27062508 27149354
uc001mrh.1 6 27360060 27384795
uc001mrj.4 18 27387507 27494334
uc001mrl.3 5 27515964 27528326
uc001mrm.3 8 27528398 27699350
uc001msc.2 17 28042162 28129746
uc001msh.2 7 28129797 28355054
uc001msk.3 2 30031287 30038577
uc001msm.3 3 30252562 30256824
uc001mso.1 4 30344648 30359165
uc001msr.3 6 30431617 30602041
uc001msv.3 9 31284170 31391357
uc001msx.3 5 31391376 31454382
uc001msy.1 7 31453948 31531169
uc001mtb.3 10 31531296 31805329
uc001mtn.2 10 32409321 32457081
uc001mtu.4 11 32605312 32624037
uc001mtv.4 18 32623625 32816204
uc001mtx.3 6 32851480 32879669
uc001mty.3 13 32914791 33001814
uc001mub.3 9 33037409 33055128
uc001mug.5 1 33097695 33101000
uc001muh.3 21 33106129 33183037
uc001muk.3 4 33183202 33213142
uc001mur.2 2 33719653 33722286
uc001mus.4 3 33724555 33744273
uc001muz.3 11 33762489 33796071
uc001mvh.1 19 34073229 34124157
uc001mvk.3 29 34127110 34168458
uc001mvl.2 17 34172533 34379555
uc001mvm.3 13 34460471 34493607
uc001mvp.2 7 34500341 34535347
uc001mvs.2 7 34903842 34937939
uc001mvt.3 11 34937676 35017675
uc001mvu.3 18 35160416 35253949
uc001mwd.3 11 35272751 35441105
uc001mwf.3 12 35453375 35547176
uc001mwh.3 1 35639734 35642421
uc001mwi.2 5 35684352 35830930
uc001mwj.1 1 35835881 35839556
uc001mwk.1 6 35965611 36252841
uc001mwl.3 2 36084833 36099448
uc001mwn.4 6 36293841 36310999
uc001mwp.3 10 36397534 36486754
uc001mws.2 7 36505316 36531863
uc001mwu.4 2 36589562 36601310
uc001mwv.4 2 36613492 36619829
uc001mxe.2 2 43283053 43290919
uc001mxi.3 24 43380434 43516483
uc001mxo.1 1 43602943 43603033
uc001mxq.4 11 43702142 43878169
uc001mxr.1 2 43851258 43855297
uc001mxs.2 10 43902356 43941825
uc001mxu.2 6 43930838 43942494
uc001mxv.1 2 43965336 43968756
uc001mxw.1 14 44069530 44081527
uc001mya.3 14 44117746 44266980
uc001myb.3 4 44282277 44331716
uc001myc.3 10 44587140 44641315
uc001mye.4 9 44785975 44953977
uc001myk.3 7 44953898 44972608
uc001myn.3 4 44995452 44999578
uc001myq.2 6 45261852 45307884
uc001myr.1 5 45392947 45410059
uc001mys.2 4 45669238 45687206
uc001myt.1 1 45697693 45697737
uc001myu.3 1 45702305 45702361
uc001myv.3 1 45702995 45703036
uc001myy.1 1 45704258 45704288
uc001myz.3 1 45705063 45705103
uc001mza.3 1 45705353 45705413
uc001mzb.3 1 45707655 45707698
uc001mzc.2 1 45710774 45710820
uc001mzd.3 1 45710878 45710932
uc001mzg.3 1 45712928 45712965
uc001mzh.3 1 45713441 45713473
uc001mzm.1 1 45715868 45715899
uc001mzp.3 1 45717776 45717812
uc001mzq.3 1 45718118 45718182
uc001mzs.1 1 45718319 45718352
uc001mzu.3 1 45718629 45718659
uc001mzv.3 1 45719135 45719173
uc001mzw.1 1 45719768 45719801
uc001mzx.1 1 45719806 45719840
uc001mzy.1 1 45719873 45719913
uc001mzz.2 1 45720190 45720221
uc001naa.3 1 45720279 45720335
uc001nab.2 1 45721044 45721082
uc001nac.3 1 45721129 45721167
uc001nad.3 1 45721245 45721278
uc001naf.3 1 45721533 45721608
uc001nah.1 1 45723090 45723142
uc001nai.3 1 45723503 45723563
uc001naj.3 1 45723742 45723788
uc001nak.3 1 45724688 45724728
uc001nal.3 1 45724816 45724883
uc001nan.1 1 45727085 45727116
uc001nao.3 1 45727811 45727877
uc001nap.1 1 45731274 45731324
uc001naq.3 1 45732245 45732281
uc001nar.3 1 45734298 45734345
uc001nas.1 1 45734964 45734994
uc001nau.3 1 45737590 45737655
uc001nav.3 1 45738422 45738463
uc001naw.1 1 45739264 45739299
uc001nax.1 1 45739736 45739772
uc001nay.3 1 45739825 45739906
uc001nba.3 1 45740741 45740778
uc001nbc.3 1 45740990 45741065
uc001nbe.3 1 45741297 45741328
uc001nbf.2 1 45741354 45741388
uc001nbg.3 1 45741419 45741457
uc001nbh.1 1 45741541 45741571
uc001nbi.2 1 45742129 45742161
uc001nbj.3 1 45742695 45742727
uc001nbl.3 1 45743609 45743640
uc001nbm.2 3 45743857 45746106
uc001nbn.3 2 45792982 45793909
uc001nbr.3 12 45907046 45928016
uc001nbs.4 3 45928085 45928833
uc001nbt.3 11 45931219 45939674
uc001nbv.1 14 45943195 45950647
uc001ncc.4 18 45950869 46142985
uc001ncn.1 32 46383144 46402104
uc001nco.4 5 46402617 46405387
uc001nct.1 1 46406639 46408107
uc001ncv.3 20 46417961 46615619
uc001ncy.3 3 46624855 46638777
uc001nda.3 18 46638825 46697568
uc001ndd.4 13 46698624 46722215
uc001ndf.4 14 46740742 46761056
uc001ndi.2 44 46765083 46867859
uc001ndk.3 1 46783938 46784049
uc001ndl.3 3 46867961 46895967
uc001ndn.4 38 46878267 46940173
uc001ndr.4 9 46958239 47183798
uc001ndt.3 16 47185848 47198676
uc001ndx.3 11 47199072 47208010
uc001neb.2 10 47236492 47260769
uc001nei.3 11 47260852 47270457
uc001ner.1 36 47291198 47351582
uc001nfb.1 5 47376408 47400127
uc001nfh.2 12 47440319 47448024
uc001nfi.2 8 47459307 47470730
uc001nfl.3 13 47487488 47510576
uc001nfs.4 4 47586981 47595013
uc001nfz.3 4 47593748 47600567
uc001nga.2 7 47600561 47606115
uc001ngb.2 3 47608229 47610746
uc001ngc.2 2 47611215 47615961
uc001ngg.3 19 47681142 47736928
uc001ngm.3 36 47799669 47870057
uc001ngp.4 25 48002109 48192394
uc001ngs.1 1 48266655 48267567
uc001ngy.3 19 49168186 49230222
uc001nhd.3 6 50238998 50257633
uc001nhh.2 5 50375234 50379802
uc001nhi.2 1 51411377 51412448
uc001nhs.1 1 55418379 55419315
uc001nhw.1 1 55578942 55579878
uc001nhy.1 1 55594694 55595630
uc001nii.1 1 55889848 55890787
uc001nio.1 1 56043114 56044095
uc001nit.2 2 56143099 56508560
uc001nix.1 1 56257910 56258846
uc001niz.1 1 56344249 56345197
uc001nja.1 1 56380030 56380978
uc001njb.1 1 56408964 56409915
uc001nji.1 4 56615953 56645554
uc001njl.2 2 56949220 56959188
uc001njo.3 1 57001051 57004927
uc001njs.3 12 57067102 57092413
uc001njt.3 17 57093458 57103351
uc001nju.3 12 57105840 57137549
uc001njv.2 6 57144241 57148623
uc001nki.3 14 57174426 57195053
uc001nkk.3 15 57252003 57282358
uc001nkm.1 3 57295935 57298232
uc001nkn.2 4 57319127 57335180
uc001nkp.1 8 57365026 57382326
uc001nkt.1 2 57405848 57420263
uc001nku.1 1 57408670 57408759
uc001nkv.4 5 57412559 57417417
uc001nkw.3 3 57425215 57429337
uc001nkx.1 12 57435473 57468659
uc001nlb.3 4 57471186 57479673
uc001nlc.2 8 57479994 57508445
uc001nmc.4 21 57529233 57586652
uc001nmj.3 3 57791352 57949038
uc001nml.1 1 57885971 57886916
uc001nmq.1 1 58034263 58035732
uc001nmw.3 9 58294343 58343390
uc001nmx.4 11 58346586 58389023
uc001nna.4 2 58390145 58393205
uc001nnb.3 6 58476229 58499447
uc001nnd.4 6 58601539 58611997
uc001nne.1 2 58652423 58660266
uc001nng.1 6 58701115 58825925
uc001nnh.2 7 58710721 58724543
uc001nnk.1 2 58746331 58746843
uc001nnl.3 4 58874657 58894888
uc001nnn.1 4 58901711 58910281
uc001nnq.3 4 58912251 58922511
uc001nns.2 9 58939811 58976060
uc001nnu.4 1 58975982 58980494
uc001nnx.1 1 59210641 59211589
uc001nnz.1 1 59244902 59245838
uc001noa.1 1 59271048 59271984
uc001noc.1 14 59341870 59383617
uc001noe.4 19 59404191 59436511
uc001nof.1 1 59480388 59481318
uc001nog.3 11 59522531 59573355
uc001noh.2 4 59573607 59578345
uc001noi.3 9 59596745 59612974
uc001noj.2 9 59620280 59634041
uc001nok.2 7 59710362 59737619
uc001nol.3 4 59807747 59815516
uc001nom.3 7 59824100 59838588
uc001nop.3 7 59856136 59865940
uc001noy.2 4 59980567 59997544
uc001noz.3 7 60048013 60076445
uc001npd.3 4 60102354 60108441
uc001npf.3 7 60145957 60163426
uc001npo.3 5 60197061 60215265
uc001npq.3 7 60223281 60238225
uc001npr.3 7 60260250 60274901
uc001nps.3 7 60282885 60310191
uc001npt.3 7 60383223 60454621
uc001npv.3 7 60467046 60483285
uc001npw.1 3 60501076 60506416
uc001npz.1 8 60552820 60568778
uc001nqa.2 4 60609428 60618561
uc001nqc.2 2 60618397 60623444
uc001nqd.3 12 60635014 60643164
uc001nqf.3 16 60658019 60674061
uc001nqg.3 4 60681370 60690915
uc001nqi.3 11 60691912 60704631
uc001nqn.2 8 60704554 60719257
uc001nqq.3 13 60739112 60787848
uc001nqv.1 5 60897727 60928916
uc001nqx.3 9 60970983 60980350
uc001nqy.3 9 60989820 60999179
uc001nqz.3 9 61008643 61018929
uc001nra.3 20 61025757 61062788
uc001nrc.5 27 61066918 61100684
uc001nre.3 18 61100653 61116231
uc001nrf.4 5 61116219 61124361
uc001nrl.2 5 61129472 61136975
uc001nrp.3 10 61170119 61197383
uc001nrt.3 4 61197596 61214239
uc001nru.2 14 61248584 61258400
uc001nrw.1 2 61305615 61309870
uc001nry.3 4 61355965 61375018
uc001nrz.1 5 61382507 61406921
uc001nsa.3 20 61447904 61514474
uc001nsc.1 27 61520120 61555989
uc001nsd.3 4 61521500 61525136
uc001nsf.3 4 61556601 61560085
uc001nsg.3 2 61560108 61564714
uc001nsl.1 12 61595712 61634825
uc001nsm.3 12 61640997 61659006
uc001nso.4 10 61664767 61685081
uc001nsr.2 9 61717355 61731066
uc001nsu.3 4 61731756 61735132
uc001nsw.1 19 61891444 61920635
uc001nsz.1 3 61957709 61961009
uc001nta.2 3 61976139 61981411
uc001ntb.3 3 62009723 62012280
uc001ntc.3 3 62037629 62040628
uc001ntd.1 3 62063753 62066536
uc001ntf.4 7 62104773 62160887
uc001ntj.3 3 62186506 62190678
uc001ntl.3 5 62283373 62314332
uc001ntm.1 10 62327072 62341460
uc001nto.2 9 62342516 62359109
uc001ntq.2 18 62360674 62369312
uc001ntu.1 22 62369690 62380237
uc001ntv.3 3 62380212 62382592
uc001ntw.3 5 62382767 62389647
uc001nua.4 25 62392297 62414198
uc001nud.3 2 62414319 62420774
uc001nuf.3 7 62430288 62439241
uc001nug.1 3 62432778 62434923
uc001nuh.3 2 62432778 62435954
uc001nui.4 2 62439125 62441162
uc001nuj.3 8 62443971 62446527
uc001nun.3 2 62453873 62457371
uc001nur.4 11 62457733 62475179
uc001nuv.4 3 62475065 62476678
uc001nuw.3 14 62480096 62494857
uc001nuy.3 3 62495951 62506108
uc001nuz.3 2 62518434 62521656
uc001nva.3 8 62529010 62534187
uc001nvc.3 11 62538774 62554813
uc001nvd.4 5 62554873 62557872
uc001nve.2 2 62557786 62559486
uc001nvf.1 21 62559597 62572964
uc001nvh.3 11 62574331 62599563
uc001nvm.2 12 62600382 62607628
uc001nvt.3 5 62619459 62623357
uc001nvw.1 1 62621134 62621204
uc001nvy.1 1 62622092 62622167
uc001nwd.3 12 62623483 62656355
uc001nwi.3 2 62676150 62689012
uc001nwk.3 10 62744068 62752495
uc001nwo.3 11 62760295 62783317
uc001nwr.1 9 62931295 62997124
uc001nww.3 10 63137260 63177712
uc001nwy.2 6 63228875 63258680
uc001nxc.2 9 63273523 63284246
uc001nxf.4 4 63304272 63313930
uc001nxg.1 4 63320241 63330855
uc001nxj.1 1 63391555 63395325
uc001nxk.1 13 63396436 63439083
uc001nxq.3 9 63448921 63527363
uc001nxt.3 6 63580922 63595190
uc001nxw.3 19 63606399 63678492
uc001nyc.3 12 63678692 63684316
uc001nye.3 2 63742078 63744015
uc001nyf.1 7 63753324 63765892
uc001nyh.3 11 63766029 63933585
uc001nyi.1 2 63871361 63886645
uc001nyk.1 14 63953586 63972020
uc001nym.2 15 63974151 63991363
uc001nyr.1 1 63996624 63998760
uc001nys.3 7 63997752 64001753
uc001nyw.3 7 64002055 64006736
uc001nyy.3 6 64008412 64011607
uc001nza.3 4 64011950 64014413
uc001nzd.3 4 64037299 64052176
uc001nzj.1 7 64058792 64067903
uc001nzk.1 6 64058792 64067903
uc001nzq.1 7 64073043 64084210
uc001nzt.3 4 64084164 64085033
uc001nzu.3 6 64085559 64089295
uc001nzy.3 27 64107689 64125006
uc001oae.3 17 64126624 64139687
uc001oag.4 2 64187862 64188529
uc001oai.3 10 64323097 64338999
uc001oaw.1 2 64509481 64512061
uc001oax.4 20 64513860 64528187
uc001oaz.2 13 64532075 64545938
uc001obh.3 32 64556608 64570713
uc001obn.3 10 64570985 64578188
uc001obs.4 37 64591661 64612041
uc001obu.1 5 64620207 64646191
uc001obx.3 41 64662003 64684722
uc001oby.3 14 64692142 64701950
uc001oca.3 4 64701942 64703360
uc001ocb.1 10 64705928 64727607
uc001ocf.1 3 64755416 64764517
uc001och.4 5 64781584 64789657
uc001ock.3 7 64794789 64808044
uc001ocm.3 2 64808375 64812300
uc001ocn.3 18 64812294 64826009
uc001oco.3 3 64834080 64835205
uc001ocp.2 6 64844926 64851615
uc001ocq.1 8 64851693 64855874
uc001ocr.2 10 64863586 64879332
uc001oct.4 10 64879325 64883707
uc001ocw.3 1 64883874 64885170
uc001ocx.3 5 64888098 64889672
uc001oda.2 4 64889715 64894841
uc001odb.3 16 64894750 64902003
uc001odj.3 18 65029431 65065088
uc001odl.3 2 65082288 65089900
uc001odm.3 11 65101224 65120451
uc001odo.4 2 65122281 65125082
uc001odr.1 7 65142662 65150142
uc001odu.4 11 65154040 65180995
uc001oea.1 18 65292547 65306182
uc001oej.3 28 65306029 65325699
uc001oek.3 4 65337942 65339239
uc001oel.2 2 65339819 65341669
uc001oeo.4 19 65343508 65360116
uc001oes.3 3 65360325 65363467
uc001oew.3 10 65365225 65381720
uc001oey.2 35 65383782 65404910
uc001ofb.2 16 65405577 65418391
uc001ofg.3 11 65421066 65430443
uc001ofk.3 13 65479472 65487077
uc001ofn.3 4 65485143 65488409
uc001ofp.3 4 65554504 65564690
uc001ofr.3 13 65601409 65621172
uc001ofs.3 4 65622284 65626101
uc001ofv.4 16 65627871 65633914
uc001ofy.4 11 65633911 65640405
uc001ogc.1 10 65647283 65651212
uc001ogd.3 10 65651210 65656010
uc001ogf.3 1 65657874 65659106
uc001ogg.1 4 65659691 65667997
uc001ogi.3 2 65684282 65686531
uc001ogj.2 7 65686727 65689048
uc001ogk.1 9 65713114 65727434
uc001ogl.3 20 65729159 65747607
uc001ogn.2 6 65764015 65769637
uc001ogp.3 3 65769549 65771617
uc001ogr.3 3 65779461 65780976
uc001ogt.3 12 65784222 65793988
uc001ogu.1 1 65801869 65803659
uc001ogw.3 3 65808235 65816651
uc001ogy.1 22 65819815 65836382
uc001oha.2 24 65837823 66012218
uc001ohb.2 16 66025173 66035332
uc001ohf.3 6 66036055 66044963
uc001ohg.1 2 66037719 66045996
uc001ohi.2 6 66045671 66051685
uc001ohk.4 8 66052050 66056638
uc001ohl.3 2 66059372 66064135
uc001ohm.1 1 66081957 66084515
uc001ohn.1 10 66099541 66104000
uc001oho.1 10 66104803 66112582
uc001ohr.3 2 66112842 66115161
uc001oht.3 12 66129991 66139291
uc001ohw.1 1 66135746 66138329
uc001ohx.1 8 66188474 66194177
uc001ohz.4 5 66202549 66206310
uc001oic.4 8 66234335 66244808
uc001oif.2 18 66247483 66277130
uc001oij.1 17 66278118 66301084
uc001oin.1 3 66306734 66313671
uc001oip.3 13 66330934 66336047
uc001oiq.4 1 66357639 66360554
uc001oir.3 8 66360689 66373490
uc001oit.3 3 66384052 66397397
uc001ojb.3 4 66432469 66445275
uc001ojc.1 5 66452722 66455550
uc001ojd.3 37 66452719 66488870
uc001oje.1 1 66496218 66496318
uc001ojk.1 8 66610882 66614003
uc001ojn.1 21 66615996 66675340
uc001ojr.3 2 66624875 66627946
uc001oju.3 8 66790815 66818334
uc001ojv.3 5 66824288 66839488
uc001ojw.3 21 66886739 67025550
uc001okd.2 15 67056761 67069955
uc001okf.1 1 67064098 67065527
uc001okj.3 14 67070918 67080078
uc001okm.4 4 67118235 67121067
uc001okr.3 11 67159422 67165883
uc001oku.1 7 67165651 67169376
uc001ola.4 10 67171383 67177561
uc001old.3 15 67195934 67202879
uc001oli.1 2 67202980 67205153
uc001olk.1 11 67205517 67210983
uc001olm.3 1 67218771 67220200
uc001olo.3 6 67222817 67229245
uc001olq.2 7 67231818 67236748
uc001olv.3 6 67250504 67258579
uc001oly.3 24 67259238 67272843
uc001oma.4 4 67273960 67276199
uc001omc.1 7 67286417 67290899
uc001omf.3 7 67351065 67354124
uc001omi.1 2 67371523 67373482
uc001omj.2 10 67374322 67380012
uc001omm.1 2 67380123 67381052
uc001omo.2 4 67395409 67397408
uc001omp.3 8 67398773 67407031
uc001omq.3 8 67410025 67418130
uc001oms.3 10 67429632 67448685
uc001omt.4 4 67559237 67572807
uc001omv.1 2 67653966 67658816
uc001omw.1 12 67758574 67771593
uc001ona.3 11 67777789 67796743
uc001onc.3 7 67798083 67804114
uc001one.3 20 67806461 67818366
uc001onj.3 12 67820325 67888858
uc001onl.1 1 67826216 67828536
uc001onm.1 11 67923506 67980784
uc001onr.4 4 68028802 68039469
uc001ont.3 23 68080107 68216743
uc001onv.3 25 68228185 68382801
uc001oob.3 6 68451982 68458643
uc001ooc.3 10 68474907 68518988
uc001oog.4 19 68522350 68609399
uc001ooi.3 7 68658745 68671303
uc001ook.1 15 68671318 68708069
uc001oop.4 3 68771861 68780850
uc001ooq.3 6 68779898 68785916
uc001oos.2 25 68816349 68858072
uc001oou.3 2 68857483 68858409
uc001oov.3 3 69061621 69064754
uc001ooy.1 2 69229074 69231600
uc001ooz.2 2 69240457 69244389
uc001opa.3 5 69455872 69469242
uc001opc.3 5 69480331 69490165
uc001opf.3 3 69513005 69519106
uc001opg.1 3 69587796 69590171
uc001oph.3 3 69624735 69634192
uc001opj.3 26 69924407 70035652
uc001opm.2 2 70049268 70053508
uc001opo.3 28 70116805 70230607
uc001opt.1 2 70219515 70244568
uc001opu.3 19 70244611 70282690
uc001oqc.3 22 70313960 70935842
uc001oqd.1 1 70449407 70450961
uc001oqe.1 3 70477198 70481595
uc001oqj.2 3 71116791 71134400
uc001oql.3 9 71145456 71159477
uc001oqn.3 21 71164216 71212581
uc001oqq.1 1 71238312 71239210
uc001oqr.1 1 71249070 71250253
uc001oqs.1 1 71259465 71260653
uc001oqt.1 1 71276608 71277666
uc001oqu.3 1 71292900 71293921
uc001oqv.4 5 71498556 71512280
uc001ora.3 9 71639767 71708643
uc001orf.1 6 71709957 71713850
uc001orl.1 27 71713910 71791573
uc001orr.3 6 71791376 71807938
uc001ort.3 5 71808337 71814433
uc001orw.3 6 71820632 71823822
uc001orx.1 6 71846770 71850934
uc001osa.2 5 71900601 71907367
uc001osf.3 28 71935881 71950188
uc001osh.4 3 71950120 71955220
uc001osl.3 2 72281703 72284266
uc001osp.1 1 72326106 72326174
uc001osu.3 35 72396113 72463434
uc001otb.3 7 72465773 72504750
uc001otd.3 18 72525450 72540680
uc001otj.4 3 72929342 72953472
uc001otr.4 2 72983186 73009670
uc001otu.3 21 73019662 73080425
uc001otv.3 11 73087404 73108519
uc001oty.1 8 73117027 73309228
uc001ouc.3 8 73358593 73373864
uc001ouf.3 8 73386682 73472201
uc001ouh.4 8 73498916 73575656
uc001ouj.3 2 73583712 73587890
uc001ouk.2 12 73588013 73638781
uc001ouo.3 8 73661363 73681332
uc001oup.1 8 73685715 73693889
uc001our.3 7 73711325 73720282
uc001ouu.2 31 73745479 73882064
uc001ouz.3 13 73977701 74022699
uc001ova.3 7 74022406 74035750
uc001ovb.1 14 74041360 74109502
uc001ovc.3 3 74165885 74178600
uc001ove.3 2 74204484 74209578
uc001ovf.2 12 74303574 74354105
uc001ovh.3 12 74407473 74442186
uc001ovl.4 6 74459912 74553458
uc001ovu.2 5 74660291 74690076
uc001ovw.3 3 74699949 74718743
uc001ovx.1 1 74720516 74720547
uc001ovz.1 1 74721860 74721888
uc001owb.3 14 74862031 74917445
uc001owe.2 16 74971165 75062875
uc001owj.1 1 75111434 75111582
uc001owl.1 1 75115464 75115610
uc001owm.2 6 75133437 75141674
uc001owp.4 17 75145684 75236599
uc001owr.3 5 75273100 75283849
uc001owu.3 4 75297962 75379479
uc001owz.3 4 75469499 75479692
uc001oxa.3 8 75479777 75512581
uc001oxc.3 15 75526211 75855282
uc001oxe.3 5 75897369 75917574
uc001oxh.1 5 76061003 76091880
uc001oxi.1 4 76092356 76125663
uc001oxl.3 21 76156068 76262589
uc001oxq.4 3 76368567 76381044
uc001oxs.4 21 76391209 76432833
uc001oxx.3 13 76777991 76837198
uc001oyb.2 49 76839309 76926286
uc001oyf.3 16 76927602 76998463
uc001oyg.4 16 77033059 77185108
uc001oyj.3 3 77300679 77321401
uc001oyk.3 7 77327195 77348851
uc001oyn.3 16 77377273 77531880
uc001oyq.3 4 77532207 77583398
uc001oys.3 23 77589765 77705717
uc001oyw.4 2 77726760 77734320
uc001oyx.3 2 77774906 77779403
uc001oza.1 13 77811987 77850699
uc001ozb.3 2 77882297 77899664
uc001ozh.3 10 77926335 78128868
uc001ozi.3 14 78147006 78285909
uc001ozj.3 4 78244221 78269593
uc001ozl.4 34 78364327 79151695
uc001ozn.3 2 78804343 78808883
uc001ozo.1 8 81590895 82114955
uc001ozp.3 1 82443045 82444906
uc001ozr.3 10 82535408 82611557
uc001ozt.3 6 82612736 82645699
uc001ozu.3 6 82692477 82782884
uc001ozw.3 3 82783107 82784754
uc001ozx.4 16 82868136 82896835
uc001ozz.1 10 82905290 82960013
uc001pae.3 9 82972501 82997377
uc001pag.3 5 82997170 83134559
uc001pak.2 28 83166055 85338314
uc001pap.4 5 85339616 85347583
uc001par.3 5 85358962 85367597
uc001pas.2 1 85368607 85376182
uc001pau.1 1 85394892 85397320
uc001pbb.3 13 85405264 85437511
uc001pbg.1 12 85566143 85631051
uc001pbm.3 20 85668213 85780139
uc001pbp.3 12 85955805 85989785
uc001pbu.3 5 86013252 86056985
uc001pbx.2 15 86085777 86134151
uc001pbz.3 14 86152149 86383240
uc001pcb.3 2 86511490 86522273
uc001pcd.3 2 86534418 86648861
uc001pce.3 2 86656716 86666440
uc001pcf.3 3 86666662 86711989
uc001pch.3 15 86748885 87039876
uc001pcj.2 3 87846414 87908635
uc001pck.4 7 88026759 88070941
uc001pco.3 2 88157548 88161279
uc001pcq.3 9 88237743 88781240
uc001pcs.3 5 88911039 89028927
uc001pct.3 18 89057521 89224653
uc001pcz.3 2 89385713 89391901
uc001pda.3 14 89392464 89431886
uc001pdb.3 8 89530822 89541743
uc001pdf.4 19 89867817 89925779
uc001pdg.2 11 89933596 89956532
uc001pdj.4 25 92085261 92629635
uc001pdk.1 2 92702788 92715948
uc001pdl.1 1 92877340 92879656
uc001pdn.3 11 92880849 92931095
uc001pdq.3 14 93063882 93171636
uc001pds.4 3 93211638 93276546
uc001pdv.3 1 93454679 93455032
uc001pec.3 4 93463446 93469014
uc001ped.3 6 93469095 93474703
uc001pef.3 8 93474792 93496247
uc001pem.4 12 93517404 93546496
uc001pen.1 3 93800139 93862566
uc001pep.2 20 93754377 93847374
uc001per.3 5 93862093 93915137
uc001pet.2 4 94110476 94134585
uc001peu.2 20 94150468 94227040
uc001pew.3 3 94227152 94232744
uc001pez.3 1 94277016 94283064
uc001pfa.3 20 94300473 94354587
uc001pfb.3 13 94501507 94609918
uc001pfd.4 8 94695786 94706776
uc001pfe.3 3 94706844 94732676
uc001pff.3 2 94800055 94804388
uc001pfh.3 2 94822973 94865815
uc001pfi.1 3 94883702 94892312
uc001pfj.4 10 94898676 94964246
uc001pfn.2 10 95502105 95522954
uc001pfp.2 11 95523624 95565857
uc001pfu.3 15 95566043 95657371
uc001pfw.1 5 95711439 96076344
uc001pfx.4 10 96085928 96123083
uc001pge.2 24 100558406 100861656
uc001pgf.3 1 100862810 100864666
uc001pgh.2 8 100900354 101000544
uc001pgk.4 13 101322294 101454659
uc001pgl.3 9 101761404 101787253
uc001pgm.3 11 101785745 101871793
uc001pgp.3 7 101918168 101955291
uc001pgr.3 1 101978616 101980568
uc001pgt.3 9 101981191 102104154
uc001pgx.3 9 102188180 102210135
uc001pha.3 5 102267055 102323775
uc001phb.3 6 102391238 102401478
uc001phc.3 10 102447565 102496063
uc001phd.1 10 102562414 102576468
uc001phe.2 10 102582525 102595685
uc001phf.3 2 102622853 102624183
uc001phg.2 10 102641232 102651359
uc001phh.1 8 102654406 102707497
uc001phi.2 10 102660640 102668966
uc001phj.1 10 102706527 102714342
uc001phk.3 11 102733463 102745764
