Gene   Phenotype
601978 605726;614373;
601982 144700;
602023 607364;613090;
602024 613090;
602026 266500;
602033 600348;
602044 601665;
602049 608203;
602053 176807;613659;
602054 187500;188400;192430;217095;
602063 606003;
602072 616039;
602090 601216;
602091 251750;613086;614819;
602104 118400;
602109 140600;607078;608728;
602113 147920;
602115 149730;180920;
602117 176270;
602119 615369;
602121 124900;616632;
602122 614675;
602125 220110;256000;
602129 609753;
602130 617111;
602136 214100;234580;601539;
602137 256000;
602141 256000;
602142 151600;
602146 262700;
602149 119800;186550;
602150 172800;608890;
602153 158000;
602167 608565;
602168 607596;
602170 153600;612260;
602183 613330;
602192 615537;615590;
602194 600142;610149;616779;
602195 606595;608634;
602201 247100;
602202 614507;
602207 614222;
602208 600791;612780;
602216 175200;260350;273300;
602218 107480;
602219 216820;
602225 120970;613829;
602228 125853;
602229 609136;611584;613266;
602232 121201;
602235 121200;613720;
602242 600740;
602243 179620;609057;
602244 614420;
602257 254900;
602272 610954;613267;
602275 613827;
602279 164300;
602280 600132;613843;
602286 607330;
602290 254110;615988;
602292 616277;
602296 612936;
602298 600882;
602302 146550;203655;209500;
602311 601665;
602322 127550;614743;
602334 615861;
602337 113000;268310;
602345 616410;
602346 616286;
602357 614493;
602358 161400;
602360 612718;
602365 170650;245000;245010;
602368 616204;
602376 610424;616669;
602377 616346;
602378 160150;606482;615368;
602389 610678;
602397 147480;211600;243300;
602402 153400;
602409 601626;
602412 610629;
602413 605373;606764;606864;
602421 167800;211400;219700;277180;
602427 122600;
602431 610878;
602432 137760;606657;613435;
602438 116800;
602441 607948;611162;614383;
602445 604218;
602457 613759;
602458 613589;
602460 602459;
602466 616818;
602498 604484;615658;
602529 611603;
602533 606324;
602536 600118;
602537 193235;
602544 167000;211980;600116;607572;
602568 236270;601634;
602569 127750;
602574 601543;603629;
602575 161200;
602576 609813;
602591 615411;
602593 146520;270300;
602600 608446;
602601 608446;
602606 601665;
602614 157800;617137;
602616 212066;
602617 241850;616534;
602623 608516;
602627 613805;
602630 142946;
602631 114480;211980;268210;
602635 615828;
602638 609981;
602642 259710;
602643 239000;
602656 616415;
602661 600638;614039;
602662 128101;612438;
602666 600316;
602667 251260;609135;613065;
602669 107250;610623;
602671 232220;232240;
602676 615665;
602686 176807;
602690 114900;168000;171300;252011;606864;615106;
602694 252010;256000;
602700 114500;613684;
602703 616212;
602713 612775;
602716 256300;
602727 166600;611490;
602730 613751;
602743 194200;261740;600858;
602744 222765;
602748 615269;
602753 602078;
602754 616689;
602759 176807;
602765 158000;
602767 602032;
602768 277300;
602769 615879;
602770 613080;
602773 144700;
602774 613390;613399;
602775 607721;
602780 615871;
602782 602782;
602783 607259;
602821 604187;
602839 615513;
602842 616835;
602851 604352;605472;
602855 608446;
602858 270400;
602859 614870;614871;
602860 114500;176430;257300;
602861 609040;
602867 614224;
602870 616151;
602876 251290;
602879 614257;
602880 187500;208530;217095;613854;
602900 242860;
602911 614256;
602926 612164;
602931 614823;
602932 612229;
602935 606581;
602937 614431;614433;
602938 607748;
602943 616622;
602954 614291;
602955 617126;
602956 614082;
602959 616393;616409;
602974 614411;
602978 615414;
602985 252010;
602991 184460;185800;186500;186570;611377;
602997 261100;
603005 612847;
603009 253601;254130;606768;
603013 181500;
603023 616873;
603024 614607;
603025 601626;
603026 181030;
603028 114500;246300;607948;
603029 609423;613002;
603031 601744;608556;615557;
603033 603034;
603044 601410;
603046 144700;
603051 600121;
603056 613800;
603057 601390;607829;
603060 611302;
603066 612394;
603072 114500;
603073 609637;
603084 615281;
603089 614327;
603094 111400;615021;
603100 608594;
603103 212070;
603109 613795;
603111 607174;616938;
603113 211980;
603122 616433;
603128 601665;
603136 614496;
603155 613611;
603157 603387;
603164 614882;
603175 181500;
603176 181500;
603178 614105;
603183 604805;
603196 601369;
603197 215470;245800;275400;612020;
603198 613327;
603200 209920;
603201 601847;605479;
603202 223000;
603206 181500;
603208 193230;614186;
603212 611597;
603213 603546;
603214 614857;
603220 615344;
603234 177850;264800;614473;
603236 614714;
603248 112600;609441;616849;
603254 613325;614609;
603258 615592;
603263 143860;
603273 103285;106260;129400;603543;604292;605289;
603276 145500;
603283 615441;
603286 614842;
603287 610090;
603288 217300;
603290 613436;
603295 615342;
603297 613091;
603301 610508;
603305 135500;611816;
603307 611391;
603313 613688;
603317 613391;
603324 133200;220290;612644;
603335 608644;
603339 611884;
603342 181500;
603345 604278;
603349 611783;
603356 616969;
603357 615598;
603360 614876;614877;
603368 616080;
603371 253310;611890;
603372 275200;603373;609152;
603377 212140;
603381 108720;108721;112310;150250;272460;
603384 612621;
603390 609161;614190;
603395 615505;
603400 208230;
603401 608233;
603409 614157;
603415 133020;243000;607208;613863;
603422 166710;
603424 612067;
603426 604348;
603427 616882;
603454 614499;
603465 617063;
603470 215700;
603474 105650;
603489 603932;
603490 158330;611812;
603491 149700;
603495 243060;
603499 174810;602080;612301;
603503 608799;
603504 616958;
603506 144750;166710;259770;601813;601884;607634;607636;
603507 610947;616724;
603517 137245;156240;605027;616098;
603518 604454;
603527 616901;
603531 609313;
603537 600101;
603539 615362;
603550 601316;605362;
603557 601382;
603560 615284;
603564 615042;
603576 613216;
603590 608840;613154;
603593 222700;
603594 608446;
603604 256600;610217;612953;
603605 260600;
603612 275355;
603615 114480;605027;
603617 613830;
603623 608323;
603632 613308;
603633 615909;
603634 612561;
603636 615885;
603639 614328;
603644 220110;
603646 256000;615119;
603647 124000;256000;262000;603358;
603650 615983;
603652 603965;
603658 612563;
603666 603233;
603667 612949;
603673 109400;155255;605462;
603680 608768;
603681 601071;
603685 606164;
603690 612539;614482;
603693 187500;610187;616067;
603694 125853;
603700 601367;
603701 613309;
603704 614900;
603707 252150;
603708 252160;
603711 270800;613812;
603714 157170;269160;
603716 146200;
603718 607626;
603722 223900;
603725 615270;
603727 615760;
603734 616532;
603741 242100;
603743 612551;
603756 138900;614490;
603767 204700;
603780 218600;266280;268400;
603785 615219;
603795 601098;
603796 611493;613693;
603799 143095;
603805 609796;
603810 613668;
603811 614008;
603816 114550;607864;
603824 269921;605820;
603826 617049;
603834 256000;
603835 256000;
603839 252010;
603846 252010;256000;
603848 252010;
603850 614388;
603851 209880;613013;
603856 615346;
603859 603471;605814;
603861 238970;
603867 614920;
603868 607624;
603883 612954;613881;
603892 610536;
603904 117300;176500;616079;
603918 145500;
603921 612073;
603924 188050;616535;
603930 615501;
603937 180100;
603941 249270;
603942 613507;616199;
603945 603896;
603946 616911;
603951 608622;
603959 248250;
603961 614897;
603967 168300;170500;608390;613345;614198;
603968 278750;
604001 611820;
604011 615518;
604025 114500;608615;
604027 614018;
604032 226980;
604040 613078;
604041 609180;
604043 615565;
604050 133239;211980;
604061 162100;
604063 191830;
604065 616795;
604067 608415;
604088 143890;
604095 129490;224900;612630;
604096 257270;
604103 159000;182920;609200;
604110 606854;615752;
604115 130650;
604123 616479;
604124 251255;606744;
604127 260660;
604134 274150;
604139 614881;
604142 221770;
604144 220100;
604149 159900;
604159 614618;
604161 176400;614837;
604167 615502;
604174 615550;
604175 612562;
604190 180300;
604194 608649;
604202 609528;
604210 172870;600105;613835;
604212 616353;616371;
604214 116860;
604217 265100;
604237 272430;
604241 607832;
604242 133239;
604258 114500;
604260 102578;245590;
604267 614976;
604270 212780;614305;616304;
604272 604377;608908;
604277 182601;
604283 208250;
604285 259900;
604289 114500;605027;
604294 614402;
604296 260000;
604297 615530;
604299 616511;
604305 123400;126200;212750;
604310 614171;
604312 105150;611953;
604313 230200;
604319 268130;613990;
604322 269920;604369;
604325 604326;
604327 130070;
604329 145500;
604332 601626;
604346 614202;
604349 614115;
604357 615877;
604365 603786;608051;612095;612657;
604366 244400;
604373 114480;176807;259500;609265;
604383 187900;
604384 169600;
604385 615548;615552;
604386 190350;190351;
604392 604393;
604395 114500;608089;614385;
604402 609056;
604404 258315;
604417 616368;
604418 129500;220290;612643;612645;
604427 615551;
604433 613119;
604455 268900;
604457 235550;607948;
604459 611064;
604473 614831;
604485 268100;611131;
604487 614945;
604488 601954;607487;
604489 214950;614307;
604490 270550;
604501 616866;617066;
604505 200600;
604515 613502;
604526 612572;
604539 225410;
604544 615300;617021;
604556 615812;
604557 614844;
604558 607594;
604566 603147;
604569 610042;612100;
604574 616981;
604577 616812;
604579 133780;
604580 219100;608895;614434;
604581 610246;614487;
604584 114500;114550;
604588 263520;
604590 152700;611162;
604592 259700;
604593 615282;
604594 615789;
604597 219000;
604605 608901;
604610 210900;
604611 277700;
604613 143400;
604614 201400;
604619 600512;
604624 613376;
604629 612529;
604630 601665;
604632 617054;
604633 614437;
604638 603278;
604641 125853;
604653 606069;
604672 607948;609423;614371;
604677 616351;
604685 612290;
604687 607277;
604694 115080;
604705 613862;
604710 613177;
604712 612075;613077;
604714 608800;
604720 604250;
604723 610505;
604741 235555;
604759 270960;
604766 600995;
604767 133239;
604773 611283;
604774 605019;
604775 615040;
604780 275630;
604799 616707;
604808 615271;
604819 615583;
604824 211900;
604831 193530;225500;
604834 616439;
604843 237450;
604846 614880;
604860 615468;
604862 613393;
604863 613341;
604867 103780;
604878 218000;
604882 610370;
604895 208550;
604896 236700;605231;
604900 615863;
604902 616202;
604907 240500;609529;
604912 615599;
604918 608027;
604927 604168;
604933 132600;608456;613659;
604934 241410;244460;
604943 613865;
604946 609423;
604961 610475;
604965 614868;
604973 613860;
604975 616803;
604982 203300;
604983 610131;
604985 600224;615386;
604990 612287;
605000 615401;
605010 147050;256500;
605014 603552;
605018 132700;601606;605041;
605020 148300;614195;
605025 614748;
605031 616171;
605042 614249;
605047 616345;
605073 253250;
605078 612069;
605080 248200;262300;
605082 211980;
605083 165720;
605084 615673;
605086 221770;
605093 133100;187950;254450;
605100 114480;
605101 614980;
605102 613791;
605109 617011;
605111 610419;
605113 238700;268700;
605120 615506;
605124 270420;
605131 133239;614322;616211;
605145 118600;123000;
605158 269400;
605178 616726;
605185 616589;
605194 605376;
605195 608681;
605197 236800;
605202 610442;
605204 128100;
605205 143870;
605206 163800;613123;
605207 614416;
605210 181500;604906;
605219 614152;
605226 616975;
605232 201300;614492;
605235 614937;
605236 614595;
605237 616413;
605238 600807;616739;
605239 602722;
605242 276904;602092;
605248 252650;
605254 142690;
605257 605258;
605262 601455;
605266 607831;
605267 613873;
605268 606438;
605270 252900;
605283 615547;
605284 191100;606690;
605286 601283;
605290 125250;165500;210000;606657;616896;
605294 217800;
605313 274000;
605317 602081;
605325 145500;
605336 235400;603075;
605347 180300;
605353 601665;
605363 603513;
605367 614731;615440;
605370 607785;
605371 608097;
605377 160900;
605378 231550;
605379 256850;
605380 193100;211900;
605383 147050;615207;
605384 615767;
605391 188470;
605411 607346;616399;
605414 608907;
605420 609597;613451;615529;
605423 233420;607080;
605425 133200;
605427 113500;156530;168400;181405;184095;184252;600175;606071;606835;613508;
605437 601367;
605441 612556;
605446 608194;613826;
605452 111600;609153;614497;615402;
605459 210250;
605460 210250;611465;
605461 613953;
605481 608716;
605483 612444;
605490 600373;
605495 237450;
605497 610682;
605507 614204;
605511 601072;
605512 133190;600110;614457;
605514 601067;602083;609533;
605515 613670;
605516 601067;601386;
605517 615287;
605518 268200;
605519 609628;
605522 135750;174500;186200;188740;200500;
605525 613804;
605537 616517;
605546 614201;
605554 180300;
605555 102200;219090;600634;
605557 615373;
605558 615721;
605564 609439;614869;
605565 125853;
605566 181500;
605573 264300;
605577 615888;
605579 614680;
605590 614286;
605593 154400;
605597 110100;608996;
605602 613838;
605608 614035;
605610 613402;616267;
605616 138500;242600;
605629 617090;
605632 615553;
605634 603585;
605646 274600;600791;
605648 260300;
605654 615471;
605692 105500;
605704 182980;608627;
605705 616341;
605706 263650;
605712 162400;
605713 613640;
605725 145900;614895;
605739 617114;
605740 122860;239100;269500;
605742 613180;
605747 603813;
605748 115300;
605755 610212;616217;
605764 616949;
605775 614495;
605789 616734;
605799 261100;
605802 235730;
605810 611719;
605815 271930;
605828 226400;
605829 226400;
605837 227220;615516;
605849 605850;
605862 615041;
605870 615268;
605874 612292;
605880 603736;606170;
605881 266265;
605882 114480;609054;
605896 615065;
605906 601493;609452;
605907 608540;
605908 604004;
605910 615881;
605921 160565;185070;612783;
605925 210720;
605942 615539;
605947 280000;
605950 615222;
605951 612937;
605956 186580;266600;607507;609464;
605958 616777;
605978 200150;
605981 243800;
605983 616362;
605988 602450;603554;
605993 608782;
605995 118210;171300;256700;
605998 610738;
606000 612387;
606014 136760;
606019 616081;
606025 259050;
606034 610333;
606036 615926;
606037 211750;
606045 218330;
606061 611363;
606062 610759;
606075 271245;609286;616138;
606097 614080;
606100 125630;
606102 611369;
606118 614072;
606119 248300;
606142 612076;
606144 201000;
606145 208050;
606151 615981;616562;
606152 607483;
606153 614053;
606157 234200;607236;
606158 269700;270685;600794;615924;
606195 611174;
606200 612975;
606201 116400;125853;222300;600965;614296;
606202 227240;606574;
606210 255310;602771;
606224 266120;
606227 609549;611040;
606230 606232;613950;
606236 606243;
606241 138800;180295;601200;
606247 614261;
606252 607948;610799;611162;614382;
606264 613108;614079;
606268 150400;224750;257980;
606269 613494;
606271 181500;
606272 219750;219800;219900;
606273 603896;
606326 212550;
606347 604416;
606350 208920;
606351 609006;
606352 205100;606353;607225;
606368 144650;145750;
606370 614458;
606373 616193;
606374 245600;
606389 612997;
606397 276902;614180;
606409 613385;
606410 230740;602089;
606412 602522;
606416 120100;191900;607115;
606417 614858;
606418 602398;
606419 600138;
606421 606893;
606425 609070;609820;
606439 182600;613708;
606440 603720;
606441 610297;
606453 614700;
606454 603896;
606462 614701;
606463 127750;168600;230800;230900;231000;231005;608013;
606464 613313;
606470 613987;
606471 224230;
606475 613646;
606476 611775;
606478 615848;616568;
606480 275210;608612;
606489 614678;
606494 611090;615006;
606496 613956;
606518 147050;
606521 607196;613710;
606522 613702;613703;613704;
606523 188470;
606526 609227;
606530 213700;
606531 600807;
606540 251850;
606551 133239;
606557 617101;
606566 192600;
606568 615994;
606570 265900;
606580 165300;258501;
606585 104500;204650;
606596 606612;607155;613153;
606597 122880;148820;193500;268220;
606598 214400;607706;607831;608340;
606603 614940;614941;
606608 120433;
606609 152700;192315;225750;610448;
606622 242900;
606628 606664;
606629 603649;
606633 613849;
606635 226200;
606636 606579;615225;
606639 609060;
606666 615311;
606672 153670;177820;231200;258660;
606673 613161;
606681 117550;130650;601626;
606682 614073;
606686 603896;
606687 603896;
606694 615770;
606702 263200;
606706 600974;606705;
606709 249500;
606718 222600;226900;256050;600972;
606725 204300;601780;
606726 616645;616685;
606731 616340;
606742 613087;
606754 612952;614415;
606759 607200;
606761 248360;
606765 274500;
606781 617044;
606797 602400;
606800 232300;
606806 229100;
606807 615267;
606808 607101;
606810 239500;600850;
606811 239510;
606821 613612;
606822 253280;613151;613157;617123;
606829 229300;
606831 616050;616115;
606837 114480;
606844 203800;
606847 154500;
606857 230450;608446;
606860 106100;120790;
606869 272800;
606871 613730;
606873 268800;
606879 256520;601815;
606882 277900;
606883 607676;610799;
606885 201470;
606887 272300;
606890 245200;
606897 214500;
606919 616230;
606933 103470;203100;601800;606952;
606934 252010;
606936 604559;
606938 263700;
606939 124480;616455;
606940 178300;
606941 263210;608776;
606945 143890;
606951 182250;615846;
606953 230350;
606967 136120;245900;
606973 611209;
606976 613489;
606977 614576;615328;
606978 608779;
606979 611182;
606980 612016;
606985 617141;
606989 104300;254600;
606999 230400;
607001 610253;
607002 610628;
607008 201450;
607009 602014;
607031 614462;
607035 109400;155255;607174;
607036 243500;
607037 615605;
607038 607039;
607040 117800;
607042 204200;
607043 614070;615527;
607047 109150;
607056 613581;616152;
607059 201100;
607063 259450;610968;
607066 614594;616400;
607070 615444;
607071 601492;
607072 617116;
607083 601626;
607093 181500;188050;236250;601634;
607096 220150;
607100 256100;266900;609583;
607102 136680;156240;194070;194080;256370;608978;
607108 106210;120200;120430;136520;148190;165550;604229;
607111 275900;
607117 251200;
607118 614582;
607120 613722;
607123 244200;
607137 609115;
607139 227650;
607144 607143;
607145 614076;
607170 606217;
607182 610019;
607186 616294;
607194 609069;615935;
607198 607250;
607199 119300;119500;608864;
607206 606545;
607207 615768;
607210 615206;616452;
607211 173200;602723;
607212 212050;
607213 613803;
607215 606966;606996;
607218 612245;612251;
607223 125400;
607237 600971;
607243 614067;
607244 184450;613744;
607245 614066;
607246 617050;
607252 181500;
607254 181500;
607261 193530;225500;
607270 615834;
607273 114500;135150;144700;173600;
607292 610282;610283;
607293 616042;
607295 616549;
607300 600059;
607301 601414;
607306 264600;
607311 264080;
607314 614899;
607329 145500;
607331 180104;
607340 188890;
607343 147750;607323;
607358 240300;
607365 604379;
607379 101000;162091;607174;
607380 616629;
607386 615630;616394;
607393 145000;145001;608266;
607397 202200;
607402 609532;
607408 181500;
607421 610852;
607423 236670;609308;613155;
607429 614651;
607439 613150;613156;613158;
607440 253800;611588;611615;613152;
607444 260400;609135;
607461 223800;607326;
607462 125370;
607465 224120;
607468 616939;
607474 203500;
607478 608516;613003;
607479 605389;
607481 251100;
607491 615327;
607492 615009;
607511 613195;
607512 615458;
607521 614074;
607522 614075;
607542 192500;220400;607554;609621;
607544 220111;
607545 616834;
607556 200110;209885;227260;
607557 605583;
607562 605606;612261;
607566 254780;
607568 251110;
607574 250100;
607575 182410;615688;
607585 114480;208900;
607590 615984;
607592 176807;
607601 614850;
607604 610356;
607606 144200;
607608 257200;607616;
607617 616730;
607622 175800;
607623 257220;
607632 613736;
607633 278300;
607640 164500;
607642 182290;
607643 607921;
607649 259720;
607657 219500;
607664 252940;
607667 615616;
607669 615685;
607672 610313;
607690 246700;
607693 609698;
607696 606943;
607697 604563;
607701 615731;
607704 612900;
607709 607748;615878;
607751 171200;
607752 615872;
607759 187800;273800;
607761 612581;
607764 607765;
607776 613406;
607786 603776;
607788 613625;
607795 615922;
607796 147050;600807;
607800 242500;601277;
607803 613882;616418;
607805 217080;
607809 203750;
607814 608415;
607817 216550;
607818 605990;
607830 219000;
607837 600143;610003;
607838 252605;
607839 232500;263570;
607840 252500;252600;
607844 155950;166700;
607849 616108;
607854 153700;193220;611809;613194;
607867 103780;
607878 614736;
607882 614707;
607883 615026;
607892 607903;
607900 173650;
607901 612840;
607904 611942;617027;
607905 607906;616228;
607908 616827;
607922 111400;
607928 607084;611383;
607929 603284;
607939 272200;
607951 614114;
607961 614745;
607968 615986;
607976 612714;
607982 616719;
607983 231070;
607984 615266;
607998 204500;609270;
608002 208540;267010;604387;
608005 248800;
608014 158590;608673;
608025 614800;616483;
608034 271900;
608036 125853;
608040 617119;
608041 228600;
608047 244450;
608053 231680;
608059 613686;
608072 254780;
608078 181500;
608083 207750;
608092 606856;
608100 605711;
608102 256731;
608103 608104;
608107 134610;249100;
608109 600462;
608111 614083;
608124 264800;615777;
608125 264800;605822;
608132 613464;615985;
608135 603932;607850;
608136 608236;
608137 614838;
608145 600363;
608148 612313;
608151 614376;614377;614378;616307;
608160 114290;
608166 214800;
608167 614959;615005;
608170 616871;
608171 610478;
608172 613861;
608177 133700;215300;
608179 601238;
608181 248900;
608183 605282;
608187 612885;
608201 604804;
608204 610551;
608206 601596;613353;
608210 133701;616682;
608212 607948;612278;
608214 613120;
608221 188000;
608222 103050;
608226 615413;
608241 614501;
608245 615896;
608248 194300;613981;614929;
608256 611819;
608272 256550;
608283 135700;
608289 125853;
608296 617107;
608300 237310;
608305 615905;
608307 237300;615371;
608309 605909;
608310 207900;
608313 207800;
608317 606713;
608331 138500;242600;
608347 260800;
608348 248600;
608360 613506;
608374 602390;
608375 615528;
608381 608380;
608396 613410;
608400 276901;613809;
608414 610725;
608416 616749;
608419 251120;
608428 614974;
608429 601776;
608433 612337;
608441 610743;612998;
608442 612999;
608451 602473;
608455 232600;
608461 615155;
608465 602433;606002;
608480 606766;
608488 206920;
608489 615723;
608500 612437;
608507 601152;609260;617087;
608508 233690;
608512 233700;
608515 233710;
608517 615248;
608520 608516;
608533 615575;
608536 616198;
608537 144700;171300;193300;263400;
608539 611498;
608543 181500;
608546 268305;
608547 122700;607473;
608548 603075;
608549 616683;
608552 208085;
608568 600652;614369;
608576 608641;616029;
608581 613587;
608593 614809;
608595 608584;
608605 615597;
608614 210370;
608625 616263;
608626 611087;
608628 602342;616944;
608630 607313;
608648 617004;
608656 176807;
608658 176807;
608662 166260;611307;613319;
608663 262890;
608665 614324;
608666 614872;614873;
608667 122470;
608668 616083;
608677 615092;
608684 614851;
608691 608516;
608697 612310;
608699 608022;
608700 608553;
608706 127700;615482;
608707 614226;
608713 600081;
608730 615946;
608732 616721;
608735 612350;
608736 617013;
608742 145500;
608750 601110;
608752 605670;
608753 612389;
608754 612390;
608755 225753;277470;610204;
608756 617026;
608757 615803;
608761 158580;617143;
608769 245349;
608770 245348;
608771 608808;616789;
608778 615081;
608780 616395;
608786 266150;
608792 601869;
608798 600994;
608801 231670;
608803 608804;613206;613480;
608815 254770;607631;
608829 600320;
608830 612712;
608833 615190;616373;
608845 209900;600151;613575;
608846 616282;
608869 615112;
608879 616840;
608886 601665;
608892 214800;612370;
608893 138500;234500;242600;
608894 608629;
608896 253700;
608897 608898;
608903 143465;
608904 143465;
608905 143465;
608906 143465;
608918 604273;
608921 600977;
608922 612291;
608944 248450;608980;614485;
608945 219000;
608958 102700;
608965 610427;
608968 166300;617041;
608977 610198;
608990 277600;
609007 607060;
609010 210200;
609014 210210;
609017 111620;111750;
609018 253270;
609019 253260;
609023 118800;
609025 612318;
609044 607514;
609058 251000;
609059 610717;
609062 601583;
609063 616811;
609102 615979;
609118 603285;
609132 616728;
609139 610250;614751;
609144 609033;
609168 616201;
609173 604321;
609186 600721;
609187 231690;
609188 234050;
609196 607398;
609204 610498;
609213 617056;
609237 609254;
609239 278150;
609245 604213;
609252 145750;
609262 607417;
609269 600202;
609275 212720;614225;
609279 608393;613676;
609280 234810;
609291 611431;
609299 176807;
609300 202110;
609302 609304;
609309 120435;158320;276300;
609312 223360;
609314 615481;
609321 616402;
609332 243150;
609342 261000;
609347 615625;
609353 268300;269000;
609367 609460;
609369 615632;
609377 616553;
609382 614231;
609383 612281;
609390 216340;611228;612577;612691;
609397 609404;
609412 216400;614621;
609413 133540;211980;214150;278800;600630;613761;616946;
609414 121850;
609415 614326;
609427 610265;
609435 607464;
609449 605013;614019;
609457 235800;
609458 248500;
609471 614409;
609479 616890;
609489 248510;
609502 613660;
609506 264700;
609507 609923;
609510 613955;
609512 600795;614696;
609520 602629;
609523 270200;
609552 616887;
609558 176807;
609562 614417;614418;
609575 201475;
609577 273750;
609584 236792;
609588 616859;616860;
609591 615355;
609595 610644;
609607 613573;
609610 616335;
609617 608118;
609631 616298;
609648 611762;
609653 252010;256000;
609661 231090;
609669 609887;
609671 615234;
609678 137580;613229;
609681 221200;
609695 140350;276710;
609701 252920;616491;
609708 144250;238600;
609712 102900;266200;
609720 219730;616220;
609728 611390;616430;
609736 260565;
609739 609646;
609751 264470;
609761 609823;
609762 614077;
609797 615290;
609798 614262;617022;617025;
609799 613824;615415;
609802 113750;
609806 176000;
609825 146500;607426;
609826 241530;
609831 277400;
609840 210750;615887;
609842 616460;
609845 222900;
609855 615643;
609856 102530;
609862 206200;
609863 614173;
609868 604232;
609875 221900;
609883 249000;615990;617121;
609884 216360;607361;610688;613550;615991;
609891 616566;
609922 611868;
609927 614898;
609937 616910;
609948 212840;
610004 616219;
610005 617028;
610032 608423;
610035 615285;
610036 248190;
610045 271980;
610053 251270;
610055 608443;
610057 614020;
610060 248390;616494;
610062 614017;
610079 613551;
610083 615145;
610084 616736;
610098 616185;
610110 615034;
610113 225100;225200;
610130 167030;
610132 182940;600145;
610142 610188;610189;611134;611755;615991;
610148 615987;
610150 256840;
610162 209900;
610178 616490;616546;
610190 616265;
610192 610199;
610194 615181;
610197 605589;616449;
610206 217400;217700;613268;
610219 610220;
610222 613075;
610226 610227;
610230 580000;613070;
610243 610244;
610261 145500;
610262 145500;
610263 617091;
610272 615398;615399;
610273 610293;
610274 239300;
610275 616025;
610277 612782;615883;
610284 616299;
610285 208150;254300;
610290 608812;
610299 616269;
610308 261540;
610316 614932;614934;
610326 610181;
610330 610329;
610339 610915;
610341 614292;
610345 212350;614691;
610350 614340;
610355 114480;610832;613348;
610362 610381;613757;
610389 610798;
610432 616260;
610436 614833;
610453 252930;616544;
610456 610455;617053;
610463 617082;
610502 616732;
610511 607812;
610512 224100;616858;
610513 606693;
610516 220120;
610523 614464;
610528 615032;
610531 610532;
610533 615602;
610534 616459;
610538 616435;
610540 603233;
610550 250850;
610552 617132;617133;
610564 614652;
610565 616059;
610568 616833;
610572 610153;
610573 206800;
610595 255100;
610598 610599;
610613 103900;202010;
610619 234000;610618;
610622 182940;
610635 614266;
610647 614063;
610652 616921;616922;
610657 220210;603563;
610661 615273;
610662 616809;
610670 615030;
610681 232800;
610683 615989;
610690 250620;
610693 236680;
610745 601186;
610746 610768;
610767 611081;
610804 269250;
610812 608647;
610815 616839;
610819 205950;
610826 616505;
610827 615095;
610844 602099;604360;616668;
610855 188000;
610860 232400;
610863 615185;
610865 225790;
610876 616756;
610897 605387;
610911 100300;
610916 611091;
610924 615895;
610925 616445;
610928 613674;
610931 608175;
610933 614436;
610934 611548;
610936 610992;616038;
610937 216360;611560;611561;
610942 616722;
610949 614229;
610956 611105;
610957 613561;
610966 612460;612938;
610982 613237;614455;
610991 612921;
611023 616539;
611026 612319;
611034 612671;
611037 616794;
611045 612541;
611051 607453;
611060 269150;616078;
611061 259775;
611062 204690;
611065 615135;
611082 608446;
611088 615504;
611089 160150;
611101 611067;615376;
611103 611126;
611104 609311;
611119 612943;617055;
611124 610951;616170;
611140 616954;
611145 125853;
611146 613280;
611150 603516;
611153 278700;
611170 159550;
611177 611263;
611184 194380;616843;
611192 148050;
611203 162350;
611204 236600;616053;
611220 616279;
611223 615937;
611224 245400;
611236 615066;
611254 200990;607131;614120;
611258 613887;
611259 125853;
611279 616258;
611290 611291;
611313 613778;
611317 615217;
611332 603511;
611358 614192;
611360 609053;
611379 136630;
611386 615873;
611408 604537;
611409 203200;227220;
611410 616515;
611414 613875;
611421 136140;
611423 614673;
611432 243700;
611448 107600;
611458 230500;230600;230650;253010;
611466 611497;
611472 156200;
611482 142669;
611486 616947;616950;
611492 259730;
611495 604777;
611499 253220;
611501 614756;
611507 604928;
611524 611523;
611531 211180;
611539 607836;
611542 253200;
611549 615419;616266;
611550 609148;
611562 614822;
611570 229700;
611592 614946;617046;
611595 608572;
611604 615681;
611605 611225;
611606 613074;
611623 615833;
611632 121800;
611642 613925;613926;
611647 617020;
611654 615636;
611655 615802;
611663 615663;
611672 229050;
611687 614293;
611693 615237;
611695 604432;
611715 612379;612713;
611716 219200;278250;
611725 611726;
611729 609541;
611731 114500;114550;135290;175100;613659;
611738 166710;
611739 166710;
611761 246650;
611766 614947;
611770 217095;
611776 252010;
611778 611777;
611801 615716;
611805 615957;
611849 615395;
611888 600775;
611893 616763;
611908 612015;
611910 612018;
611911 255125;
611927 130900;
611935 277410;
611951 614175;
611966 613192;
612003 607688;
612012 270700;
612013 216360;612284;612285;
612014 613819;613820;
612025 274800;
612026 615071;
612035 614096;615889;
612041 612042;
612048 604400;614302;
612051 117210;
612074 612079;
612078 229200;
612080 615159;
612105 615107;
612107 616063;
612120 615238;
612121 615024;
612123 251950;
612163 612267;
612169 188030;
612182 243400;
612186 616113;
612192 601410;
612222 253000;
612243 616503;
612268 615860;
612277 231050;
612280 230000;
612283 176860;612304;
612298 617142;
612309 188055;227400;600880;601367;614389;
612315 615735;
612322 220110;
612325 612651;
612349 261600;
612358 228960;
612360 252010;
612373 602782;
612374 615934;
612386 177000;
612392 256000;
612395 602541;
612399 616814;
612411 615546;616006;
612414 611451;
612418 614052;
612424 602772;
612452 610443;
